GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
Total national emissions and removals,168497.7728017273,1287.0453832737128,61.039749452356,4697.1944,2397.34415299622,0.009066,Summary1.As1,NETHERLANDS,1990,Total
Total national emissions and removals,177000.7832901423,1303.0324500538857,61.70419467087641,3658.062,2376.4612209456527,0.005514,Summary1.As1,NETHERLANDS,1991,Total
Total national emissions and removals,176775.97532149742,1286.5169569116326,62.60928631474619,4711.904488,2163.335143087501,0.005879,Summary1.As1,NETHERLANDS,1992,Total
Total national emissions and removals,176793.41808880863,1268.5473561233318,63.55296169566323,5295.16282,2190.1243635506257,0.006151,Summary1.As1,NETHERLANDS,1993,Total
Total national emissions and removals,177584.34117167426,1226.9693400045132,62.02558107088755,6852.211113462158,2107.91476858322,0.007871,Summary1.As1,NETHERLANDS,1994,Total
Total national emissions and removals,178904.84185681274,1197.1502797721175,61.52828045444522,6342.805161116366,2054.1727188707027,0.011213,Summary1.As1,NETHERLANDS,1995,Total
Total national emissions and removals,187930.5458497928,1169.7891615968156,61.72565853719338,8078.705041719661,2284.448939916118,0.011424,Summary1.As1,NETHERLANDS,1996,Total
Total national emissions and removals,180813.696454814,1103.5066973589014,60.82356995099895,8614.848800348555,2493.839163189047,0.012424,Summary1.As1,NETHERLANDS,1997,Total
Total national emissions and removals,181774.9275614664,1074.4375221840894,58.88543047646332,9756.27010732723,1964.734864195415,0.011207,Summary1.As1,NETHERLANDS,1998,Total
Total national emissions and removals,176296.1889065283,1023.2745775359232,56.62942826018792,5079.486919652918,1599.02656901511,0.010534,Summary1.As1,NETHERLANDS,1999,Total
Total national emissions and removals,177345.89781487462,978.4597684122735,54.41467287979591,4029.0373272189695,1723.171118661835,0.009984,Summary1.As1,NETHERLANDS,2000,Total
Total national emissions and removals,182558.2227185868,952.2386623207062,51.31937496216127,1665.8843141221962,1625.318781982158,0.010467,Summary1.As1,NETHERLANDS,2001,Total
Total national emissions and removals,181830.89593608456,906.5020343456388,48.27241453385032,1424.718512724777,2362.468310978477,0.008056,Summary1.As1,NETHERLANDS,2002,Total
Total national emissions and removals,185587.2178682852,875.4812632318932,47.87765908183618,1399.2944113043875,699.10652322853,0.00663,Summary1.As1,NETHERLANDS,2003,Total
Total national emissions and removals,187301.31213691423,859.159462506116,49.11763515856621,1460.3425309881072,347.972437085856,0.007376,Summary1.As1,NETHERLANDS,2004,Total
Total national emissions and removals,183265.28275853413,800.3194911518616,48.94172140863377,1281.1508544264564,344.035143375237,0.006703,Summary1.As1,NETHERLANDS,2005,Total
Total national emissions and removals,178396.95413788225,782.3195022305553,49.21654452831395,1479.8125646878111,333.653409218971,0.00523,Summary1.As1,NETHERLANDS,2006,Total
Total national emissions and removals,177795.36766722187,784.0970247295585,43.90044228524147,1577.9106948419185,404.551668798364,0.00467,Summary1.As1,NETHERLANDS,2007,Total
Total national emissions and removals,180767.093337526,793.2487219181868,31.31902071560105,1647.383445612553,310.219367364128,0.004689,Summary1.As1,NETHERLANDS,2008,Total
Total national emissions and removals,175333.7890062706,786.4231427452183,30.77474818273462,1735.5044276153908,302.051882480067,0.004235,Summary1.As1,NETHERLANDS,2009,Total
Total national emissions and removals,187106.4875525476,783.4948217096904,29.81830216563807,1977.8920485615697,299.907006169741,0.004598,Summary1.As1,NETHERLANDS,2010,Total
Total national emissions and removals,174427.04305286895,760.7101945214846,29.10220418486766,1787.1461872237662,263.501478991187,0.003615,Summary1.As1,NETHERLANDS,2011,Total
Total national emissions and removals,171097.18468490045,743.9612976517991,28.5179986223238,1738.4369099562432,183.251869780946,0.005943,Summary1.As1,NETHERLANDS,2012,Total
Total national emissions and removals,170027.5231702176,743.1755246980546,29.24215952247839,1936.509716664264,141.754422072289,0.004743,Summary1.As1,NETHERLANDS,2013,Total
Total national emissions and removals,162576.25427911524,725.6440781822625,29.66324707279851,1553.085402935067,92.63480040972512,0.004304,Summary1.As1,NETHERLANDS,2014,Total
Total national emissions and removals,168874.9345714421,733.6272061541741,30.40732845198417,1730.704792846055,103.9982052008189,0.004898,Summary1.As1,NETHERLANDS,2015,Total
Total national emissions and removals,169482.7461706065,738.4070623887981,29.36661039677553,1551.5404591542,152.8175644636574,0.005244,Summary1.As1,NETHERLANDS,2016,Total
Total national emissions and removals,165964.99028997135,725.3830118918917,30.17636703287021,1612.9261673276317,77.5287933480453,0.005142,Summary1.As1,NETHERLANDS,2017,Total
Total national emissions and removals,161987.2455763046,701.4740277467633,29.45120223974655,1230.0621680884549,167.4909010715472,0.004724,Summary1.As1,NETHERLANDS,2018,Total
Total national emissions and removals,156357.81082003706,697.0595107937912,29.03983013357569,1302.793669100582,118.1908644715612,0.005138,Summary1.As1,NETHERLANDS,2019,Total
Total national emissions and removals,140500.36976535738,686.391607906552,28.45475980617907,1056.575101492303,65.3432585179166,0.005464,Summary1.As1,NETHERLANDS,2020,Total
Total national emissions and removals,143892.19706265043,677.1471104381559,27.31356120931447,1172.450322716317,79.4521532804117,0.005271,Summary1.As1,NETHERLANDS,2021,Total
