GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),157867.88876569684,,,,,,Summary1.As1,NETHERLANDS,2015,Subsector,1. Energy
                                           Sectoral approach(2),156921.3692828139,63.73653930221379,2.20572656129611,,,,Summary1.As1,NETHERLANDS,2015,Subsector,1. Energy
1.  Energy industries,69180.92921689726,5.18111164241958,1.05086914126412,,,,Summary1.As1,NETHERLANDS,2015,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,25414.11303469503,2.46289705835112,0.13041512280172,,,,Summary1.As1,NETHERLANDS,2015,Subsector,1. Energy
3.  Transport,28955.03086495819,2.54445875286613,0.84639267862546,,,,Summary1.As1,NETHERLANDS,2015,Subsector,1. Energy
4.  Other sectors,33210.09089783537,53.53380851552948,0.16943069793612,,,,Summary1.As1,NETHERLANDS,2015,Subsector,1. Energy
5.  Other,161.20526842803,0.01426333304748,0.00861892066869,,,,Summary1.As1,NETHERLANDS,2015,Subsector,1. Energy
B. Fugitive emissions from fuels,1037.3227436285677,25.9768365,,,,,Summary1.As1,NETHERLANDS,2015,Subsector,1. Energy
1.  Solid fuels,78.1277165285677,0.2013,,,,,Summary1.As1,NETHERLANDS,2015,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,959.1950271,25.7755365,,,,,Summary1.As1,NETHERLANDS,2015,Subsector,1. Energy
