GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),22978.909242581438,,,,,Summary1.As1,NEW ZEALAND,1990,Subsector,1. Energy
                                           Sectoral approach(2),22026.934225238638,8.09494323399883,0.7371347005263,,,Summary1.As1,NEW ZEALAND,1990,Subsector,1. Energy
1.  Energy industries,5979.070272823127,0.10007725112244,0.01779671132986,,,Summary1.As1,NEW ZEALAND,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,4676.527793123013,1.16808229182583,0.17445179425093,,,Summary1.As1,NEW ZEALAND,1990,Subsector,1. Energy
3.  Transport,7936.451992362534,3.17086631932098,0.37070775681814,,,Summary1.As1,NEW ZEALAND,1990,Subsector,1. Energy
4.  Other sectors,3434.884166929965,3.65591737172958,0.17417843812737,,,Summary1.As1,NEW ZEALAND,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,459.72798874917333,38.86169289708035,0.00019860462,,,Summary1.As1,NEW ZEALAND,1990,Subsector,1. Energy
1.  Solid fuels,,13.121311373,,,,Summary1.As1,NEW ZEALAND,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,459.72798874917333,25.74038152408035,0.00019860462,,,Summary1.As1,NEW ZEALAND,1990,Subsector,1. Energy
A.  Mineral industry,561.8665651868607,,,,,Summary1.As1,NEW ZEALAND,1990,Subsector,1. Energy
