GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),31772.15867867595,,,,,,Summary1.As1,NEW ZEALAND,2004,Subsector,1. Energy
                                           Sectoral approach(2),30708.355769089972,6.51825719098362,1.16867248250597,,,,Summary1.As1,NEW ZEALAND,2004,Subsector,1. Energy
1.  Energy industries,8015.656224237361,0.11514599989241,0.06901200870753,,,,Summary1.As1,NEW ZEALAND,2004,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,5798.393286543524,1.32804763523051,0.21799049989314,,,,Summary1.As1,NEW ZEALAND,2004,Subsector,1. Energy
3.  Transport,12742.478818994334,1.95548437074658,0.67450078746852,,,,Summary1.As1,NEW ZEALAND,2004,Subsector,1. Energy
4.  Other sectors,4151.827439314755,3.11957918511412,0.20716918643678,,,,Summary1.As1,NEW ZEALAND,2004,Subsector,1. Energy
B. Fugitive emissions from fuels,862.7009432852765,33.81459092134808,8.133633e-05,,,,Summary1.As1,NEW ZEALAND,2004,Subsector,1. Energy
1.  Solid fuels,,15.002000189,,,,,Summary1.As1,NEW ZEALAND,2004,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,862.7009432852765,18.81259073234808,8.133633e-05,,,,Summary1.As1,NEW ZEALAND,2004,Subsector,1. Energy
A.  Mineral industry,666.6810080742216,,,,,,Summary1.As1,NEW ZEALAND,2004,Subsector,1. Energy
