GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
3.  Agriculture,1256.3574723310057,1164.6136234693122,60.95224997161547,,,,,,40.37079010923892,126.37501421538559,117.15507986962542,0.7958497224367,1992,Subsector,CO2 emissions from biomass
A.  Enteric fermentation,,983.2337326332707,,,,,,,,,,,1992,Subsector,CO2 emissions from biomass
B.  Manure management,,165.64526043191523,11.35796098664445,,,,,,,,72.09409098564925,,1992,Subsector,CO2 emissions from biomass
C.  Rice cultivation,,NO,,,,,,,,,NO,,1992,Subsector,CO2 emissions from biomass
D.  Agricultural soils,,NE,48.90404994535157,,,,,,34.26653720474155,NE,41.55186727155916,,1992,Subsector,CO2 emissions from biomass
E.  Prescribed burning of savannas,,NO,NO,,,,,,NO,NO,NO,,1992,Subsector,CO2 emissions from biomass
F.  Field burning of agricultural residues,,4.80124115292486,0.12447662248324,,,,,,4.18321517689279,126.06995961879855,3.50065100044304,,1992,Subsector,CO2 emissions from biomass
G. Liming,1016.4167639794517,,,,,,,,,,,,1992,Subsector,CO2 emissions from biomass
H. Urea application,236.64799472888703,,,,,,,,,,,,1992,Subsector,CO2 emissions from biomass
I.  Other carbon-contining fertilizers,NO,,,,,,,,,,,,1992,Subsector,CO2 emissions from biomass
J.  Other ,3.29271362266683,10.93338925120146,0.56576241713621,,,,,,1.92103772760458,0.30505459658704,0.00847061197398,0.7958497224367,1992,Subsector,CO2 emissions from biomass
"4.  Land use, land-use change and forestry  (4)",2374.4276213895605,198.31694951960333,7.06894699115106,,,,,,0.79883766647786,16.73164087142031,NO,NO,1992,Subsector,CO2 emissions from biomass
A. Forest land (4),-14953.63368924997,3.55602412678311,1.62626650274136,,,,,,0.04322863815201,1.64811915330655,NO,,1992,Subsector,CO2 emissions from biomass
B. Cropland (4),14195.849688742212,11.85577733041764,2.44574507006692,,,,,,0.00358815585216,0.13006989762526,NO,,1992,Subsector,CO2 emissions from biomass
C. Grassland (4),-806.9337463717778,99.57610091467954,0.0820383199192,,,,,,0.66707783497546,11.92381681638513,NO,,1992,Subsector,CO2 emissions from biomass
D. Wetlands (4),649.5706225756257,82.66484582387669,0.0708496152824,,,,,,NO,NO,NO,,1992,Subsector,CO2 emissions from biomass
E. Settlements (4),5220.711293515785,0.13307742541389,1.42639031861799,,,,,,0.08494303749823,3.02963500410337,NO,,1992,Subsector,CO2 emissions from biomass
F. Other land (4),NO,NO,NO,,,,,,NO,NO,NO,,1992,Subsector,CO2 emissions from biomass
G. Harvested wood products ,-1931.1365478223138,,,,,,,,,,,,1992,Subsector,CO2 emissions from biomass
H. Other  (4),"NO,IE",0.53112389843246,0.42126457987319,,,,,,NO,NO,NO,NO,1992,Subsector,CO2 emissions from biomass
5.  Waste,1408.0338995909156,2539.285596165915,3.46097799976552,,,,,,6.39852108917936,36.19440340814779,18.55839808167983,7.46030904649931,1992,Subsector,CO2 emissions from biomass
A.  Solid waste disposal (5),"NO,NE",2442.9709087605693,,,,,,,"NO,NE","NO,NE",9.03712894917889,,1992,Subsector,CO2 emissions from biomass
B.  Biological treatment of solid waste (5),,2.61737858797067,0.15678573666652,,,,,,NE,NE,NE,,1992,Subsector,CO2 emissions from biomass
C.  Incineration and open burning of waste (5),1408.0338995909156,7.19584319271656,0.22181650552134,,,,,,6.39852108917936,36.19440340814779,9.15324774724086,7.46030904649931,1992,Subsector,CO2 emissions from biomass
D.  Wastewater treatment and discharge,,86.50146562465844,3.08237575757766,,,,,,"NO,NE","NO,NE",0.36802138526008,,1992,Subsector,CO2 emissions from biomass
E.  Other (5),NO,NO,NO,,,,,,NO,NO,NO,NO,1992,Subsector,CO2 emissions from biomass
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1992,Subsector,CO2 emissions from biomass
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,1992,Subsector,CO2 emissions from biomass
