GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,569367.1492088307,4881.873577704541,135.94562415593998,15373.822893074397,435.31214191674064,"NO,NE",0.05789710508732,2.567045771e-05,2159.1998514028533,5739.2874156050375,2044.6164631434497,1759.2849284674328,1998,Subsector,CO2 captured
1. Energy,527796.8256472688,912.5411855234728,11.7130449073548,,,,,,2084.516617959434,5068.063169104862,1214.410135212758,1677.23005975122,1998,Subsector,CO2 captured
A. Fuel combustion     Reference approach(2),519058.06775931595,,,,,,,,,,,,1998,Subsector,CO2 captured
                                           Sectoral approach(2),520290.20393180277,87.08299921922809,11.52374723105924,,,,,,2079.7140187275854,5014.943733320349,717.5090811286848,1664.3472825155184,1998,Subsector,CO2 captured
1.  Energy industries,198442.55957229747,7.95711931621795,3.78773511294522,,,,,,472.34123856727336,92.22575191846698,6.79938031736969,1225.7289765819053,1998,Subsector,CO2 captured
2.  Manufacturing industries and construction                          ,71405.296497704,3.46010647405443,0.87198306383296,,,,,,294.4317006333304,628.1528567707014,36.20975190814577,176.9483791301493,1998,Subsector,CO2 captured
3.  Transport,127850.70178422405,32.50761339280048,5.78677723917551,,,,,,1085.2377291318921,3583.1826408774955,608.7734617233411,112.47318070392012,1998,Subsector,CO2 captured
4.  Other sectors,119393.33068488305,43.07257449519771,0.96320446020867,,,,,,203.9104880739287,704.3629725304047,64.44938195129093,142.86912748916538,1998,Subsector,CO2 captured
5.  Other,3198.315392694225,0.08558554095752,0.11404735489688,,,,,,23.792862321161,7.01951122327987,1.27710522853722,6.32761861037819,1998,Subsector,CO2 captured
B. Fugitive emissions from fuels,7506.621715465976,825.4581863042447,0.18929767629556,,,,,,4.80259923184822,53.1194357845131,496.90105408407317,12.88277723570176,1998,Subsector,CO2 captured
1.  Solid fuels,296.9409774467129,455.3355149183256,0.00010854,,,,,,0.372755265,32.28367772687036,81.29798489191344,10.84050048409776,1998,Subsector,CO2 captured
2.  Oil and natural gas and other emissions from energy production,7209.680738019263,370.1226713859191,0.18918913629556,,,,,,4.42984396684822,20.83575805764274,415.60306919215975,2.042276751604,1998,Subsector,CO2 captured
C. CO2 Transport and storage,NO,,,,,,,,,,,,1998,Subsector,CO2 captured
2.  Industrial processes and product use,40664.82431251041,7.44560923854176,51.21829114700328,15373.822893074397,435.31214191674064,"NO,NE",0.05789710508732,2.567045771e-05,34.01206102068488,613.5577043142648,689.5958952020744,80.6734813805699,1998,Subsector,CO2 captured
A.  Mineral industry,9849.090506251825,,,,,,,,NO,3.01035882985477,2.76848449351968,13.120812108091,1998,Subsector,CO2 captured
B.  Chemical industry,7024.247761547371,5.1578316254702,49.17191108197887,12820.74546,50.80707718867246,NO,NO,NO,10.50175882223419,78.8260637415033,102.4588699685927,31.27594492894785,1998,Subsector,CO2 captured
C.  Metal industry,22768.922024159056,1.58091937320662,0.06608896667846,NO,217.63684285824337,,0.01878625,,21.86364146295386,519.9744190310075,4.36400598630847,31.34691954162848,1998,Subsector,CO2 captured
D.  Non-energy products from fuels and solvent use ,1022.56402055216,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",486.8591631566773,1.85074933090891,1998,Subsector,CO2 captured
E.  Electronic industry ,,,,17.49636656853323,"NO,NE,IE","NO,NE","NO,NE,IE",2.567045771e-05,,,,,1998,Subsector,CO2 captured
F.  Product uses as substitutes for ODS,,,,2535.5810665058634,3.5944745953511,,,,,,,,1998,Subsector,CO2 captured
G.  Other product manufacture and use ,NO,NO,1.98029109834595,,163.2737472744737,,0.03911085508732,,0.107133,3.27946016666667,0.28806873333333,NO,1998,Subsector,CO2 captured
H.  Other(3),"IE,NE,NO",0.70685823986494,NO,,,,,,1.53952773549683,8.46740254523257,92.85730286364297,3.07905547099366,1998,Subsector,CO2 captured
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,1998,Subsector,CO2 captured
