GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,562016.9034296797,4656.257970000691,103.80261191427914,8525.733722629047,412.3438056658791,"NO,NE",0.06525650286023,2.952102637e-05,2055.2924719697385,5367.204081113949,1840.8391314256703,1368.2889640069768,1999,Subsector,Indirect CO2
1. Energy,519744.62527999846,807.1017395896392,11.46416195832012,,,,,,1980.0284000814022,4685.9257575069105,1069.8031487740752,1297.1135314127737,1999,Subsector,Indirect CO2
A. Fuel combustion     Reference approach(2),515422.28828670253,,,,,,,,,,,,1999,Subsector,Indirect CO2
                                           Sectoral approach(2),513572.28588555823,89.40190912354566,11.30967318448843,,,,,,1975.7788000858898,4646.323679880682,662.3136112938942,1283.2129962902018,1999,Subsector,Indirect CO2
1.  Energy industries,188957.708937961,12.19062134217741,3.55134318842492,,,,,,423.30447701251853,85.53569701141592,6.05059417606982,892.9849195616367,1999,Subsector,Indirect CO2
2.  Manufacturing industries and construction                          ,72135.22991343876,3.27378933702107,0.82099533542578,,,,,,278.9983568188257,487.6994023195705,29.01517592063809,144.07120863329615,1999,Subsector,Indirect CO2
3.  Transport,129465.27910168156,30.28693779722261,5.85316214750689,,,,,,1046.9309919247978,3354.8470566913315,558.8764591070162,103.15598139693277,1999,Subsector,Indirect CO2
4.  Other sectors,119859.68292135996,43.56840656291769,0.97022187807442,,,,,,201.30665170087659,711.4691023557838,67.09385470174031,136.45551536324382,1999,Subsector,Indirect CO2
5.  Other,3154.3850111169822,0.08215408420689,0.11395063505642,,,,,,25.2383226288713,6.77242150258009,1.27752738842969,6.54537133509235,1999,Subsector,Indirect CO2
B. Fugitive emissions from fuels,6172.339394440237,717.6998304660935,0.15448877383169,,,,,,4.24959999551238,39.60207762622894,407.4895374801812,13.90053512257192,1999,Subsector,Indirect CO2
1.  Solid fuels,214.3218541169522,377.11750761338266,5.6052e-05,,,,,,0.3110679659589,25.33289702476691,66.99965400498861,9.06484644648385,1999,Subsector,Indirect CO2
2.  Oil and natural gas and other emissions from energy production,5958.017540323285,340.5823228527109,0.15443272183169,,,,,,3.93853202955348,14.26918060146203,340.4898834751926,4.83568867608807,1999,Subsector,Indirect CO2
C. CO2 Transport and storage,NO,,,,,,,,,,,,1999,Subsector,Indirect CO2
2.  Industrial processes and product use,41305.65919924143,6.53065777245524,19.3398714066861,8525.733722629047,412.3438056658791,"NO,NE",0.06525650286023,2.952102637e-05,34.19014541353378,627.5751333646537,628.63466404842,69.47169450003759,1999,Subsector,Indirect CO2
A.  Mineral industry,9289.969602125286,,,,,,,,NO,1.24335514499405,1.08210145939667,8.94860169066353,1999,Subsector,Indirect CO2
B.  Chemical industry,7432.99320865499,4.39442352437566,17.28890421755205,5133.11832,23.4159743453958,NO,NO,NO,10.2381751920141,75.14118742391307,73.89269760844454,26.80430634539912,1999,Subsector,Indirect CO2
C.  Metal industry,24060.56152101584,1.55208783736777,0.06777811309458,NO,196.46209856561492,,0.02736,,22.31481558237287,539.5177076137725,4.14755737037955,28.85882015805634,1999,Subsector,Indirect CO2
D.  Non-energy products from fuels and solvent use ,522.1348674453151,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",455.36567711757243,1.79819502762498,1999,Subsector,Indirect CO2
E.  Electronic industry ,,,,20.12082155381327,"NO,NE,IE","NO,NE","NO,NE,IE",2.952102637e-05,,,,,1999,Subsector,Indirect CO2
F.  Product uses as substitutes for ODS,,,,3372.4945810752342,4.70092338922304,,,,,,,,1999,Subsector,Indirect CO2
G.  Other product manufacture and use ,NO,NO,1.98318907603947,,187.76480936564533,,0.03789650286023,,0.106269,3.25301216666667,0.28574553333333,NO,1999,Subsector,Indirect CO2
H.  Other(3),"IE,NE,NO",0.58414641071181,NO,,,,,,1.53088563914681,8.41987101530745,93.86088495929344,3.06177127829362,1999,Subsector,Indirect CO2
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,1999,Subsector,Indirect CO2
