GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,569664.5188886405,4440.300650440893,101.53920045003953,6964.333102360221,518.6561076267035,"NO,NE",0.07923086141182,3.394918033e-05,1984.1103206668433,4887.928091829908,1709.5153375649002,1305.172660861134,2000,Subsector,CO2 captured
1. Energy,530267.7790463596,731.8201935180994,11.44070877720902,,,,,,1915.0381117930028,4260.591543464227,979.3076516099377,1243.3244180853703,2000,Subsector,CO2 captured
A. Fuel combustion     Reference approach(2),527321.7105883645,,,,,,,,,,,,2000,Subsector,CO2 captured
                                           Sectoral approach(2),523821.67389332934,80.76434465991672,11.27668139945518,,,,,,1910.6123250520636,4220.541890074976,584.1924383282176,1231.5808262507119,2000,Subsector,CO2 captured
1.  Energy industries,199771.1788528182,12.50142542732767,3.75241055947662,,,,,,439.34237736308825,95.26323568099016,7.76396501130865,898.3123259695294,2000,Subsector,CO2 captured
2.  Manufacturing industries and construction                          ,74377.10037203801,3.14162359929254,0.79455247987781,,,,,,278.5316014091337,563.8854898159917,31.87922254039333,131.14826843987268,2000,Subsector,CO2 captured
3.  Transport,127852.28142772304,27.35192628658909,5.75004230077489,,,,,,973.3309238661844,2949.99533591436,488.11436304205347,86.22775996813814,2000,Subsector,CO2 captured
4.  Other sectors,118900.14777841058,37.69443510083424,0.87343237347857,,,,,,195.30302509047584,605.2038732106977,55.24358982715304,109.61451071222172,2000,Subsector,CO2 captured
5.  Other,2920.965462339494,0.07493424587318,0.10624368584729,,,,,,24.1043973231815,6.19395545293674,1.19129790730909,6.27796116094987,2000,Subsector,CO2 captured
B. Fugitive emissions from fuels,6446.105153030183,651.0558488581827,0.16402737775384,,,,,,4.4257867409392,40.0496533892498,395.11521328172006,11.74359183465846,2000,Subsector,CO2 captured
1.  Solid fuels,190.25651419344,324.4417334500996,0.0001053,,,,,,0.297675335,25.79235504179772,55.38507061082005,8.76948517313669,2000,Subsector,CO2 captured
2.  Oil and natural gas and other emissions from energy production,6255.848638836743,326.614115408083,0.16392207775384,,,,,,4.1281114059392,14.25729834745208,339.7301426709,2.97410666152177,2000,Subsector,CO2 captured
C. CO2 Transport and storage,NO,,,,,,,,,,,,2000,Subsector,CO2 captured
2.  Industrial processes and product use,38596.34721546193,6.05820932894135,19.97084785339634,6964.333102360221,518.6561076267035,"NO,NE",0.07923086141182,3.394918033e-05,30.51696123433885,559.5463711823949,593.690492365325,60.48227088050296,2000,Subsector,CO2 captured
A.  Mineral industry,9141.075330266223,,,,,,,,NO,2.47988759338563,2.55117564828482,10.5595661189907,2000,Subsector,CO2 captured
B.  Chemical industry,6816.267125032734,4.11728164551534,17.88239429383521,2761.719046,27.61732950475711,NO,NO,NO,9.32337307035442,91.17798239188615,68.78511076466035,22.18285345376262,2000,Subsector,CO2 captured
C.  Metal industry,22059.7130667931,1.35536714094042,0.06273504345184,NO,269.90159278947334,,0.0435005,,19.56678944677418,454.2571623858001,3.83115416302387,22.86976420417424,2000,Subsector,CO2 captured
D.  Non-energy products from fuels and solvent use ,579.2916933698668,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",425.7919523234368,1.83025526915491,2000,Subsector,CO2 captured
E.  Electronic industry ,,,,23.13894478688525,"NO,NE,IE","NO,NE","NO,NE,IE",3.394918033e-05,,,,,2000,Subsector,CO2 captured
F.  Product uses as substitutes for ODS,,,,4179.475111573336,5.20765456198175,,,,,,,,2000,Subsector,CO2 captured
G.  Other product manufacture and use ,NO,NO,2.02571851610929,,215.9295307704913,,0.03573036141182,,0.1068828,3.27180126666667,0.28739597333333,NO,2000,Subsector,CO2 captured
H.  Other(3),"IE,NE,NO",0.58556054248559,NO,,,,,,1.51991591721025,8.35953754465636,92.4437034925858,3.03983183442049,2000,Subsector,CO2 captured
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2000,Subsector,CO2 captured
