GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,578183.0449040702,4264.230417310926,96.65904471149625,7638.82274626573,432.1746820816712,"NO,NE",0.06279787276026,2.0709e-05,1941.4080361491965,4552.477147409259,1610.6980008476603,1229.2243799148039,2001,Subsector,6.  Other   (please specify)(6)
1. Energy,542554.4535788249,678.7806129892671,11.44525375992481,,,,,,1877.246558573462,3886.965101133474,902.6398759658613,1169.5902516043907,2001,Subsector,6.  Other   (please specify)(6)
A. Fuel combustion     Reference approach(2),533823.6914021638,,,,,,,,,,,,2001,Subsector,6.  Other   (please specify)(6)
                                           Sectoral approach(2),536061.290783983,78.14906191008632,11.28143581812671,,,,,,1872.802660979042,3857.686863163859,515.6450315964742,1158.4781147683263,2001,Subsector,6.  Other   (please specify)(6)
1.  Energy industries,210642.63708632067,13.96597743033287,4.04922069542563,,,,,,474.26266514961844,97.16424824421267,6.57976699649004,829.379225099557,2001,Subsector,6.  Other   (please specify)(6)
2.  Manufacturing industries and construction                          ,73416.55327432955,3.02009650298174,0.80026848865191,,,,,,268.53669908487524,486.5954240591286,28.89048695566461,137.46612124589086,2001,Subsector,6.  Other   (please specify)(6)
3.  Transport,127827.30829853832,24.29756627539166,5.46741077605824,,,,,,917.3275804453007,2686.8796567112786,428.079501405293,79.62934759669098,2001,Subsector,6.  Other   (please specify)(6)
4.  Other sectors,121248.61536817765,36.78861576951172,0.85924725207459,,,,,,190.0243669970535,580.7274059660207,50.91620137101474,106.09861628961609,2001,Subsector,6.  Other   (please specify)(6)
5.  Other,2926.176756616829,0.07680593186833,0.10528860591634,,,,,,22.6513493021941,6.32012818321852,1.17907486801179,5.90480453657147,2001,Subsector,6.  Other   (please specify)(6)
B. Fugitive emissions from fuels,6493.162794841862,600.6315510791808,0.1638179417981,,,,,,4.44389759441994,29.2782379696152,386.9948443693872,11.11213683606436,2001,Subsector,6.  Other   (please specify)(6)
1.  Solid fuels,197.63223263959281,288.1370138141375,7.4844e-05,,,,,,0.24274232,15.01805977234441,56.01622001134396,8.05331457888193,2001,Subsector,6.  Other   (please specify)(6)
2.  Oil and natural gas and other emissions from energy production,6295.530562202269,312.4945372650432,0.1637430977981,,,,,,4.20115527441994,14.26017819727079,330.9786243580432,3.05882225718243,2001,Subsector,6.  Other   (please specify)(6)
C. CO2 Transport and storage,NO,,,,,,,,,,,,2001,Subsector,6.  Other   (please specify)(6)
2.  Industrial processes and product use,35618.52335902183,5.89568085270506,17.63407501395571,7638.82274626573,432.1746820816712,"NO,NE",0.06279787276026,2.0709e-05,27.08552653164757,577.0753369556495,573.0414849989786,57.23451272955356,2001,Subsector,6.  Other   (please specify)(6)
A.  Mineral industry,8698.328512092441,,,,,,,,NO,2.25960122230508,1.93058274772246,9.02890375515851,2001,Subsector,6.  Other   (please specify)(6)
B.  Chemical industry,6431.525202123311,4.01891028937249,15.52709404081474,2528.60525496625,66.94898509098134,NO,NO,NO,6.87161884604829,92.28022045085194,56.24393949610405,19.66383252147931,2001,Subsector,6.  Other   (please specify)(6)
C.  Metal industry,19934.321636178764,1.29534250351218,0.05949717970902,NO,228.18595059619642,,0.03009125,,18.55419901316961,470.7352551841293,3.30190499485071,23.51133660844127,2001,Subsector,6.  Other   (please specify)(6)
D.  Non-energy products from fuels and solvent use ,554.3480086273114,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",417.820627373605,1.92382569961512,2001,Subsector,6.  Other   (please specify)(6)
E.  Electronic industry ,,,,14.11475632,"NO,NE,IE","NO,NE","NO,NE,IE",2.0709e-05,,,,,2001,Subsector,6.  Other   (please specify)(6)
F.  Product uses as substitutes for ODS,,,,5096.1027349794795,5.32273262449346,,,,,,,,2001,Subsector,6.  Other   (please specify)(6)
G.  Other product manufacture and use ,NO,NO,2.04748379343195,,131.71701377,,0.03270662276026,,0.1064016,3.2570712,0.28610208,NO,2001,Subsector,6.  Other   (please specify)(6)
H.  Other(3),"IE,NE,NO",0.58142805982039,NO,,,,,,1.55330707242967,8.54318889836321,93.45832830669634,3.10661414485935,2001,Subsector,6.  Other   (please specify)(6)
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2001,Subsector,6.  Other   (please specify)(6)
