GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,559951.8059813032,4169.075637858351,91.1035318049333,8021.329617994803,365.481826428161,"NO,NE",0.06436908062207,2.0709e-05,1849.6368485247285,4016.862435515394,1502.5005344209505,1107.9917843859628,2002,Subsector,Long-term storage of C in waste disposal sites
1. Energy,527861.3651179292,644.4903622895367,11.20957958687282,,,,,,1793.2472875511082,3482.562685035636,820.0361511129695,1057.2101044276092,2002,Subsector,Long-term storage of C in waste disposal sites
A. Fuel combustion     Reference approach(2),518588.9671302894,,,,,,,,,,,,2002,Subsector,Long-term storage of C in waste disposal sites
                                           Sectoral approach(2),521682.63134939066,69.76018624749861,11.05979313374212,,,,,,1788.7437385365176,3461.3948831139687,452.84051711114853,1049.2918749594187,2002,Subsector,Long-term storage of C in waste disposal sites
1.  Energy industries,207587.69669332812,13.60747424925809,4.05969146991157,,,,,,468.25219559051465,93.44425114567207,8.60396081031886,757.7492027243759,2002,Subsector,Long-term storage of C in waste disposal sites
2.  Manufacturing industries and construction                          ,66210.13241942822,2.86303081210538,0.7850135232252,,,,,,236.393121547568,429.56079499947305,25.45945997041816,119.55924448022564,2002,Subsector,Long-term storage of C in waste disposal sites
3.  Transport,130503.27977901371,21.96195023282594,5.33089900396497,,,,,,880.8099671836301,2437.596655677303,372.3194879696621,81.20666459769308,2002,Subsector,Long-term storage of C in waste disposal sites
4.  Other sectors,114320.99807339314,31.2448316930597,0.7757402042473,,,,,,181.71394768936278,494.00612051761163,45.24638437379897,85.37022608548351,2002,Subsector,Long-term storage of C in waste disposal sites
5.  Other,3060.524384227503,0.0828992602495,0.10844893239308,,,,,,21.5745065254421,6.78706077390906,1.21122398695046,5.40653707164063,2002,Subsector,Long-term storage of C in waste disposal sites
B. Fugitive emissions from fuels,6178.7337685385,574.7301760420381,0.1497864531307,,,,,,4.50354901459053,21.16780192166765,367.19563400182096,7.9182294681904,2002,Subsector,Long-term storage of C in waste disposal sites
1.  Solid fuels,194.3148078825769,283.2029809917305,0.00012530376,,,,,,0.2520540124,8.41519340014941,52.86108860659954,6.86989536025979,2002,Subsector,Long-term storage of C in waste disposal sites
2.  Oil and natural gas and other emissions from energy production,5984.418960655923,291.5271950503076,0.1496611493707,,,,,,4.25149500219053,12.75260852151824,314.3345453952214,1.04833410793061,2002,Subsector,Long-term storage of C in waste disposal sites
C. CO2 Transport and storage,NO,,,,,,,,,,,,2002,Subsector,Long-term storage of C in waste disposal sites
2.  Industrial processes and product use,32988.457575967564,6.02288366233288,12.26602993494076,8021.329617994803,365.481826428161,"NO,NE",0.06436908062207,2.0709e-05,20.02397298878989,466.49071485104224,550.755191692237,49.75355878749099,2002,Subsector,Long-term storage of C in waste disposal sites
A.  Mineral industry,8678.057784277655,,,,,,,,NO,2.25787577701076,1.49249704984755,11.9320144334255,2002,Subsector,Long-term storage of C in waste disposal sites
B.  Chemical industry,6261.419239880947,4.24211581677519,10.16832053363855,2124.91009472,70.7958183156942,NO,NO,NO,6.52961998876424,50.35227021421916,55.92019893522278,15.37027779387307,2002,Subsector,Long-term storage of C in waste disposal sites
C.  Metal industry,16939.65363881376,1.19439225141266,0.05157485649906,NO,157.81945655966456,,0.03371075,,11.87256530746141,402.221164550709,2.8646288449618,17.5382607987534,2002,Subsector,Long-term storage of C in waste disposal sites
D.  Non-energy products from fuels and solvent use ,1109.3269129952007,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",397.4117590770925,1.88762637631054,2002,Subsector,Long-term storage of C in waste disposal sites
E.  Electronic industry ,,,,14.11475632,"NO,NE,IE","NO,NE","NO,NE,IE",2.0709e-05,,,,,2002,Subsector,Long-term storage of C in waste disposal sites
F.  Product uses as substitutes for ODS,,,,5882.304766954802,5.14953778280228,,,,,,,,2002,Subsector,Long-term storage of C in waste disposal sites
G.  Other product manufacture and use ,NO,NO,2.04613454480315,,131.71701377,,0.03065833062207,,0.109098,3.339611,0.2933524,NO,2002,Subsector,Long-term storage of C in waste disposal sites
H.  Other(3),"IE,NE,NO",0.58637559414503,NO,,,,,,1.51268969256424,8.31979330910332,92.77275538511236,3.02537938512848,2002,Subsector,Long-term storage of C in waste disposal sites
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2002,Subsector,Long-term storage of C in waste disposal sites
