GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,570567.3833893036,3973.2327193620517,89.62835714034085,8797.697475213592,321.2956096285321,"NO,NE",0.0565918238966,1.933081782e-05,1826.749739877313,3711.258793595243,1429.2768973525046,1077.7256245270332,2003,Subsector,Multilateral operations
1. Energy,535489.7215550286,580.4150288224063,10.84964287709032,,,,,,1767.6951469677194,3218.397041935563,747.1170499901457,1026.7756957448107,2003,Subsector,Multilateral operations
A. Fuel combustion     Reference approach(2),527053.0209008344,,,,,,,,,,,,2003,Subsector,Multilateral operations
                                           Sectoral approach(2),529926.5187706075,64.1498736107826,10.72326136474208,,,,,,1764.3542941402168,3195.2856005227422,397.2397917976231,1017.9380136962211,2003,Subsector,Multilateral operations
1.  Energy industries,215329.63571973558,13.51090362555113,4.06804755845403,,,,,,494.67397004072683,98.8822441380817,6.70787479488867,745.7256519110074,2003,Subsector,Multilateral operations
2.  Manufacturing industries and construction                          ,66739.73236305067,3.00355019432007,0.79993566110594,,,,,,237.2822988776894,432.8400204876131,24.92838326081007,113.08445760784603,2003,Subsector,Multilateral operations
3.  Transport,129888.02739598167,19.39640850072307,5.01471255514444,,,,,,836.5233050866916,2217.879756594707,321.5802332935246,77.8084773108794,2003,Subsector,Multilateral operations
4.  Other sectors,114802.59102218092,28.15471365827981,0.7274012477657,,,,,,172.55709499306192,438.7617366050868,42.757704738085,75.21220010638335,2003,Subsector,Multilateral operations
5.  Other,3166.5322696586522,0.08429763190853,0.11316434227197,,,,,,23.31762514204714,6.92184269725348,1.26559571031482,6.10722676010492,2003,Subsector,Multilateral operations
B. Fugitive emissions from fuels,5563.202784421118,516.2651552116237,0.12638151234824,,,,,,3.34085282750259,23.11144141282091,349.8772581925225,8.83768204858975,2003,Subsector,Multilateral operations
1.  Solid fuels,185.4220100464746,233.3197148838864,0.000148068,,,,,,0.26815238893617,12.05333106690891,50.32363531972665,7.45350061771377,2003,Subsector,Multilateral operations
2.  Oil and natural gas and other emissions from energy production,5377.780774374643,282.9454403277373,0.12623344434824,,,,,,3.07270043856642,11.058110345912,299.55362287279587,1.38418143087598,2003,Subsector,Multilateral operations
C. CO2 Transport and storage,NO,,,,,,,,,,,,2003,Subsector,Multilateral operations
2.  Industrial processes and product use,35973.581220554006,6.77772284233984,11.49272387900357,8797.697475213592,321.2956096285321,"NO,NE",0.0565918238966,1.933081782e-05,21.29804280105931,395.44873172061955,549.2620857861734,49.91621548885014,2003,Subsector,Multilateral operations
A.  Mineral industry,8755.38977855664,,,,,,,,NO,2.4179501241282,1.32785839003497,16.2767481989588,2003,Subsector,Multilateral operations
B.  Chemical industry,6528.977953824418,4.89410478982462,9.39120180971151,2069.5187332,69.13449510647553,NO,NO,NO,6.82762785878203,51.43277542562491,50.66478691892228,10.69541687934624,2003,Subsector,Multilateral operations
C.  Metal industry,19617.068326759472,1.266079752277,0.0559244752277,NO,116.31441728488196,,0.0267698144,,12.83941942124125,329.9907436051683,3.31011939757796,17.9183393114895,2003,Subsector,Multilateral operations
D.  Non-energy products from fuels and solvent use ,1072.1451614134724,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",400.46745428318025,1.97372965698355,2003,Subsector,Multilateral operations
E.  Electronic industry ,,,,14.02703195186846,"NO,NE,IE","NO,NE","NO,NE,IE",1.933081782e-05,,,,,2003,Subsector,Multilateral operations
F.  Product uses as substitutes for ODS,,,,6714.151710061723,4.7391121176303,,,,,,,,2003,Subsector,Multilateral operations
G.  Other product manufacture and use ,NO,NO,2.04559759406436,,131.10758511954432,,0.0298220094966,,0.1050048,3.2143136,0.28234624,NO,2003,Subsector,Multilateral operations
H.  Other(3),"IE,NE,NO",0.61753830023822,NO,,,,,,1.52599072103603,8.39294896569815,93.20952055645802,3.05198144207205,2003,Subsector,Multilateral operations
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2003,Subsector,Multilateral operations
