GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
3.  Agriculture,970.5066717575482,1071.8206195569012,57.01620295481747,,,,,,32.51626249668904,"NO,NE,NA",116.64757859371102,NO,2003,Subsector,CO2 captured
A.  Enteric fermentation,,905.3157472122365,,,,,,,,,,,2003,Subsector,CO2 captured
B.  Manure management,,156.4224305231209,10.56411960806682,,,,,,,,75.25995285544661,,2003,Subsector,CO2 captured
C.  Rice cultivation,,NO,,,,,,,,,NO,,2003,Subsector,CO2 captured
D.  Agricultural soils,,NE,45.96784608778641,,,,,,30.72928135473951,NE,41.3876257382644,,2003,Subsector,CO2 captured
E.  Prescribed burning of savannas,,NO,NO,,,,,,NO,NO,NO,,2003,Subsector,CO2 captured
F.  Field burning of agricultural residues,,NO,NO,,,,,,NO,NO,NO,,2003,Subsector,CO2 captured
G. Liming,781.966575445492,,,,,,,,,,,,2003,Subsector,CO2 captured
H. Urea application,185.55100299580894,,,,,,,,,,,,2003,Subsector,CO2 captured
I.  Other carbon-contining fertilizers,NO,,,,,,,,,,,,2003,Subsector,CO2 captured
J.  Other ,2.98909331624735,10.08244182154382,0.48423725896424,,,,,,1.78698114194953,"NO,NE,NA","NO,NE,NA",NO,2003,Subsector,CO2 captured
"4.  Land use, land-use change and forestry  (4)",-2478.070003524275,198.9924395405015,6.08159490454935,,,,,,2.78921104342453,62.59330344039775,NO,NO,2003,Subsector,CO2 captured
A. Forest land (4),-17780.7493099444,3.94578445018744,1.70414939457275,,,,,,0.10740914502396,3.93499366760889,NO,,2003,Subsector,CO2 captured
B. Cropland (4),13760.352380851506,11.66987668403231,1.81350965844197,,,,,,0.00754639036528,0.27608053678246,NO,,2003,Subsector,CO2 captured
C. Grassland (4),-675.392193941969,99.45003997319047,0.19585286295439,,,,,,2.5129012508279,52.62726072894272,NO,,2003,Subsector,CO2 captured
D. Wetlands (4),782.1154365138126,83.25514067437474,0.07385880990637,,,,,,0.05922205069652,2.1122531415093,NO,,2003,Subsector,CO2 captured
E. Settlements (4),4126.201005506896,0.1600071235337,1.11289019031905,,,,,,0.10213220651087,3.64271536555438,NO,,2003,Subsector,CO2 captured
F. Other land (4),NO,NO,NO,,,,,,NO,NO,NO,,2003,Subsector,CO2 captured
G. Harvested wood products ,-2690.5973225101197,,,,,,,,,,,,2003,Subsector,CO2 captured
H. Other  (4),"NO,IE",0.51159063518282,0.40642244905935,,,,,,NO,NO,NO,NO,2003,Subsector,CO2 captured
5.  Waste,611.6439454876187,2115.226908599903,4.18819252488014,,,,,,2.45107656842057,34.81971649866246,16.25018298247447,1.03371329337227,2003,Subsector,CO2 captured
A.  Solid waste disposal (5),"NO,NE",2038.4907303707237,,,,,,,"NO,NE","NO,NE",7.55722643400982,,2003,Subsector,CO2 captured
B.  Biological treatment of solid waste (5),,12.99937075111225,0.77640409237087,,,,,,NE,NE,NE,,2003,Subsector,CO2 captured
C.  Incineration and open burning of waste (5),611.6439454876187,2.91562568467525,0.28746050146523,,,,,,2.45107656842057,34.81971649866246,8.33749172541096,1.03371329337227,2003,Subsector,CO2 captured
D.  Wastewater treatment and discharge,,60.8211817933916,3.12432793104404,,,,,,"NO,NE","NO,NE",0.35546482305369,,2003,Subsector,CO2 captured
E.  Other (5),NO,NO,NO,,,,,,NO,NO,NO,NO,2003,Subsector,CO2 captured
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2003,Subsector,CO2 captured
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2003,Subsector,CO2 captured
