GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,571948.500800855,3792.249823994491,91.36188886184772,7917.718776473689,407.081950631323,"NO,NE",0.04750396522097,1.795263565e-05,1774.205091117942,3450.6334845330143,1326.1336226263104,907.8678663091316,2004,Subsector,Long-term storage of C in waste disposal sites
1. Energy,535874.7025984254,565.2589187571984,10.54871559463337,,,,,,1718.2755431154462,2995.164760572568,655.5300108971107,857.7351955655139,2004,Subsector,Long-term storage of C in waste disposal sites
A. Fuel combustion     Reference approach(2),528838.4949048988,,,,,,,,,,,,2004,Subsector,Long-term storage of C in waste disposal sites
                                           Sectoral approach(2),530255.8261122069,61.24799655714571,10.41824552321753,,,,,,1715.0763044763098,2976.0445399032833,350.2916878107442,847.4975909893161,2004,Subsector,Long-term storage of C in waste disposal sites
1.  Energy industries,213547.9715601416,13.66764653347398,3.94483157846815,,,,,,473.31021060621396,99.47162026435794,6.7118033034617,582.6050316976797,2004,Subsector,Long-term storage of C in waste disposal sites
2.  Manufacturing industries and construction                          ,65104.96295712645,3.10407884876896,0.83266088367871,,,,,,236.4746190877262,456.2082555387006,25.23119465198729,111.14008678738257,2004,Subsector,Long-term storage of C in waste disposal sites
3.  Transport,131251.35397829188,17.41127983779829,4.80194142934535,,,,,,806.3911704591277,2005.0996490401865,275.99171878863604,77.09967082126693,2004,Subsector,Long-term storage of C in waste disposal sites
4.  Other sectors,117293.96665281379,26.98635758556226,0.72774931363555,,,,,,174.44865596278174,408.76734994691134,41.11316396055898,69.9219323491749,2004,Subsector,Long-term storage of C in waste disposal sites
5.  Other,3057.57096383321,0.07863375154222,0.11106231808977,,,,,,24.45164836046027,6.49766511312692,1.24380710610018,6.73086933381197,2004,Subsector,Long-term storage of C in waste disposal sites
B. Fugitive emissions from fuels,5618.876486218556,504.0109222000527,0.13047007141584,,,,,,3.19923863913645,19.12022066928492,305.2383230863665,10.23760457619785,2004,Subsector,Long-term storage of C in waste disposal sites
1.  Solid fuels,227.727799444994,209.56127845179378,0.000253692,,,,,,0.34156744042553,7.90238501722939,41.03425751535308,8.87394510545837,2004,Subsector,Long-term storage of C in waste disposal sites
2.  Oil and natural gas and other emissions from energy production,5391.148686773562,294.4496437482589,0.13021637941584,,,,,,2.85767119871092,11.21783565205553,264.2040655710134,1.36365947073948,2004,Subsector,Long-term storage of C in waste disposal sites
C. CO2 Transport and storage,NO,,,,,,,,,,,,2004,Subsector,Long-term storage of C in waste disposal sites
2.  Industrial processes and product use,37405.59760832267,6.20504703382807,14.56326623839524,7917.718776473689,407.081950631323,"NO,NE",0.04750396522097,1.795263565e-05,21.1391734984795,388.53284608756843,535.5549864681032,49.16652463126308,2004,Subsector,Long-term storage of C in waste disposal sites
A.  Mineral industry,9062.972208091227,,,,,,,,NO,2.38084717945298,1.34468145943721,16.463029574069,2004,Subsector,Long-term storage of C in waste disposal sites
B.  Chemical industry,6594.918539923172,4.33681530982506,12.08990160698251,442.0548908,111.9658918176859,NO,NO,NO,7.07845005610629,43.3297753095084,41.92941012560484,9.35493609132745,2004,Subsector,Long-term storage of C in waste disposal sites
C.  Metal industry,20007.67740154801,1.26058072771011,0.05818107277101,NO,160.50066999851563,,0.01547043992,,12.42837807441162,331.26575447481827,3.65494693327196,18.2083349096609,2004,Subsector,Long-term storage of C in waste disposal sites
D.  Non-energy products from fuels and solvent use ,1740.029458760258,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",395.7587259204055,2.08090612028254,2004,Subsector,Long-term storage of C in waste disposal sites
E.  Electronic industry ,,,,13.93945840139448,"NO,NE,IE","NO,NE","NO,NE,IE",1.795263565e-05,,,,,2004,Subsector,Long-term storage of C in waste disposal sites
F.  Product uses as substitutes for ODS,,,,7461.724427272295,4.11760907625297,,,,,,,,2004,Subsector,Long-term storage of C in waste disposal sites
G.  Other product manufacture and use ,NO,NO,2.41518355864172,,130.4977797388685,,0.03203352530097,,0.1026864,3.1433448,0.27611232,NO,2004,Subsector,Long-term storage of C in waste disposal sites
H.  Other(3),"IE,NE,NO",0.6076509962929,NO,,,,,,1.52965896796159,8.41312432378877,92.5911097093837,3.05931793592319,2004,Subsector,Long-term storage of C in waste disposal sites
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2004,Subsector,Long-term storage of C in waste disposal sites
