GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,565670.0399673455,3448.0306923570392,84.13912809202536,9521.972974739243,362.03979637913653,"NO,NE",0.03715701028218,2.210571764e-05,1700.1317205931416,3105.5544256009907,1184.2774161507846,747.8021170743987,2006,Subsector,Indirect CO2
1. Energy,531156.247797999,458.1738269887002,10.13175071932281,,,,,,1646.5966111565715,2611.5834363158056,529.666646499622,697.4615068503578,2006,Subsector,Indirect CO2
A. Fuel combustion     Reference approach(2),527401.9000583675,,,,,,,,,,,,2006,Subsector,Indirect CO2
                                           Sectoral approach(2),525926.5192912907,52.55840057039441,10.00256935384755,,,,,,1643.419929757313,2589.395443326926,274.92390816280613,688.3043652247105,2006,Subsector,Indirect CO2
1.  Energy industries,219820.61498148125,12.15343723647459,4.1333343351548,,,,,,499.8289159401107,105.25989737378148,6.51952378247704,447.77586807682184,2006,Subsector,Indirect CO2
2.  Manufacturing industries and construction                          ,63250.505277016346,2.89961256764717,0.80632351268472,,,,,,219.09236681239656,571.760722845501,28.30329961514185,104.29600133580462,2006,Subsector,Indirect CO2
3.  Transport,131430.92442351562,14.26299441391264,4.26452525436126,,,,,,740.977137407985,1566.1014540254039,201.9624375804249,72.41742118487618,2006,Subsector,Indirect CO2
4.  Other sectors,107950.81847497495,23.14744669571742,0.67582313467796,,,,,,160.20703909761937,338.50898039289837,36.77165330674369,57.51355705413091,2006,Subsector,Indirect CO2
5.  Other,3473.656134302542,0.09490965664259,0.12256311696881,,,,,,23.31447049920144,7.76438868934127,1.36699387801866,6.30151757307695,2006,Subsector,Indirect CO2
B. Fugitive emissions from fuels,5229.728506708197,405.6154264183058,0.12918136547526,,,,,,3.1766813992586,22.18799298887954,254.74273833681582,9.15714162564725,2006,Subsector,Indirect CO2
1.  Solid fuels,190.86835144793253,139.90052844194332,0.00015648552,,,,,,0.2428948498,11.27102903324,30.90539643104875,8.20462673681861,2006,Subsector,Indirect CO2
2.  Oil and natural gas and other emissions from energy production,5038.860155260264,265.71489797636247,0.12902487995526,,,,,,2.9337865494586,10.91696395563954,223.83734190576706,0.95251488882864,2006,Subsector,Indirect CO2
C. CO2 Transport and storage,NO,,,,,,,,,,,,2006,Subsector,Indirect CO2
2.  Industrial processes and product use,36537.47656932215,5.44668113687737,10.45477653350334,9521.972974739243,362.03979637913653,"NO,NE",0.03715701028218,2.210571764e-05,20.95473462199163,424.8593044467934,524.3539735716133,49.438583528494,2006,Subsector,Indirect CO2
A.  Mineral industry,9026.264373546564,,,,,,,,NO,4.57816914090432,3.02231273177344,18.3661039886401,2006,Subsector,Indirect CO2
B.  Chemical industry,5952.015142199488,3.43501293396053,7.63861019339605,393.65208525,111.9658918176859,NO,NO,NO,6.0111835192307,37.21066259145982,33.04115021426252,5.79562584921995,2006,Subsector,Indirect CO2
C.  Metal industry,21037.654038338864,1.17679210566445,0.05278889856645,NO,133.11553090574344,,0.012011154,,13.2785505375875,371.49282600597536,3.52704585008873,20.37468192591828,2006,Subsector,Indirect CO2
D.  Non-energy products from fuels and solvent use ,521.5430152372323,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",394.17843881875405,1.7649254343688,2006,Subsector,Indirect CO2
E.  Electronic industry ,,,,18.78715774976547,"NO,NE,IE","NO,NE","NO,NE,IE",2.210571764e-05,,,,,2006,Subsector,Indirect CO2
F.  Product uses as substitutes for ODS,,,,9109.533731739477,2.28425379747406,,,,,,,,2006,Subsector,Indirect CO2
G.  Other product manufacture and use ,NO,NO,2.76337744154084,,114.67411985823314,,0.02514585628218,,0.0963774,2.9502193,0.25914812,NO,2006,Subsector,Indirect CO2
H.  Other(3),"IE,NE,NO",0.83487609725239,NO,,,,,,1.56862316517343,8.62742740845389,90.32587783673463,3.13724633034687,2006,Subsector,Indirect CO2
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2006,Subsector,Indirect CO2
