GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
3.  Agriculture,1584.551941609845,1059.3909122473638,53.43397274775167,,,,,,29.20664973927929,"NO,NE,NA",115.60139803868407,NO,2006,Subsector,Long-term storage of C in waste disposal sites
A.  Enteric fermentation,,894.3913285238912,,,,,,,,,,,2006,Subsector,Long-term storage of C in waste disposal sites
B.  Manure management,,155.46588184397783,10.50731803692006,,,,,,,,74.98877144700602,,2006,Subsector,Long-term storage of C in waste disposal sites
C.  Rice cultivation,,NO,,,,,,,,,NO,,2006,Subsector,Long-term storage of C in waste disposal sites
D.  Agricultural soils,,NE,42.47977649803328,,,,,,27.42492085350748,NE,40.61262659167806,,2006,Subsector,Long-term storage of C in waste disposal sites
E.  Prescribed burning of savannas,,NO,NO,,,,,,NO,NO,NO,,2006,Subsector,Long-term storage of C in waste disposal sites
F.  Field burning of agricultural residues,,NO,NO,,,,,,NO,NO,NO,,2006,Subsector,Long-term storage of C in waste disposal sites
G. Liming,1392.3436535723122,,,,,,,,,,,,2006,Subsector,Long-term storage of C in waste disposal sites
H. Urea application,189.16649435033455,,,,,,,,,,,,2006,Subsector,Long-term storage of C in waste disposal sites
I.  Other carbon-contining fertilizers,NO,,,,,,,,,,,,2006,Subsector,Long-term storage of C in waste disposal sites
J.  Other ,3.0417936871984,9.53370187949482,0.44687821279833,,,,,,1.78172888577181,"NO,NE,NA","NO,NE,NA",NO,2006,Subsector,Long-term storage of C in waste disposal sites
"4.  Land use, land-use change and forestry  (4)",-3992.1964522487046,198.62852698127907,5.67715973621895,,,,,,1.26776437279797,35.8690558153817,NO,NO,2006,Subsector,Long-term storage of C in waste disposal sites
A. Forest land (4),-18752.7210926625,4.18315054805731,1.69001808559822,,,,,,0.25498443544701,9.19807597896611,NO,,2006,Subsector,Long-term storage of C in waste disposal sites
B. Cropland (4),13421.785660672442,11.60255722321635,1.62847422052647,,,,,,0.0030132833151,0.10910161959288,NO,,2006,Subsector,Long-term storage of C in waste disposal sites
C. Grassland (4),-1149.7825620896433,98.71803189339344,0.10656399985428,,,,,,0.88658042146746,22.16823592188317,NO,,2006,Subsector,Long-term storage of C in waste disposal sites
D. Wetlands (4),731.1975775049143,83.51074093742582,0.07451300625592,,,,,,0.06473354709979,2.30882984655914,NO,,2006,Subsector,Long-term storage of C in waste disposal sites
E. Settlements (4),3912.9479472829535,0.09157587390082,1.0627180449987,,,,,,0.05845268546861,2.0848124483804,NO,,2006,Subsector,Long-term storage of C in waste disposal sites
F. Other land (4),NO,NO,NO,,,,,,NO,NO,NO,,2006,Subsector,Long-term storage of C in waste disposal sites
G. Harvested wood products ,-2155.6239829568703,,,,,,,,,,,,2006,Subsector,Long-term storage of C in waste disposal sites
H. Other  (4),"NO,IE",0.52247050528534,0.39861119637754,,,,,,NO,NO,NO,NO,2006,Subsector,Long-term storage of C in waste disposal sites
5.  Waste,383.9601106633848,1726.390745002819,4.44146835522859,,,,,,2.10596070250119,33.24262902300991,14.65539804086519,0.9020266955469,2006,Subsector,Long-term storage of C in waste disposal sites
A.  Solid waste disposal (5),"NO,NE",1628.811561264952,,,,,,,"NO,NE","NO,NE",6.20856363946839,,2006,Subsector,Long-term storage of C in waste disposal sites
B.  Biological treatment of solid waste (5),,16.76475372851526,0.99435875762352,,,,,,NE,NE,NE,,2006,Subsector,Long-term storage of C in waste disposal sites
C.  Incineration and open burning of waste (5),383.9601106633848,2.66813139980747,0.2890703845111,,,,,,2.10596070250119,33.24262902300991,7.89508481858973,0.9020266955469,2006,Subsector,Long-term storage of C in waste disposal sites
D.  Wastewater treatment and discharge,,78.1462986095442,3.15803921309397,,,,,,"NO,NE","NO,NE",0.55174958280707,,2006,Subsector,Long-term storage of C in waste disposal sites
E.  Other (5),NO,NO,NO,,,,,,NO,NO,NO,NO,2006,Subsector,Long-term storage of C in waste disposal sites
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2006,Subsector,Long-term storage of C in waste disposal sites
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2006,Subsector,Long-term storage of C in waste disposal sites
