GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,375082.01874149445,2173.640425004562,74.68778488191973,12950.550048104113,134.94397124161105,NO,0.0236165500735,2.096730672e-05,848.232552121599,1491.3541937279256,841.9729542696076,176.9952393850366,2018,Subsector,CO2 emissions from biomass
1. Energy,357387.2862083253,264.62209748398834,8.0622542140013,,,,,,801.6840780863051,1181.970266604024,236.33134705921734,155.84165534937108,2018,Subsector,CO2 emissions from biomass
A. Fuel combustion     Reference approach(2),352713.40676049737,,,,,,,,,,,,2018,Subsector,CO2 emissions from biomass
                                           Sectoral approach(2),352910.0224437842,48.35635016877593,7.93689969695842,,,,,,799.3709585795048,1164.7806755747813,93.27132480958706,142.84561379056484,2018,Subsector,CO2 emissions from biomass
1.  Energy industries,94216.7936605546,15.23052962185879,2.42493181100187,,,,,,157.00329475926526,79.93421052057987,3.39071548827198,48.1657911332225,2018,Subsector,CO2 emissions from biomass
2.  Manufacturing industries and construction                          ,42993.00953702823,4.31827925750813,0.8148589887454,,,,,,135.530533724775,430.92280184757885,18.42476170857961,41.16088901303736,2018,Subsector,CO2 emissions from biomass
3.  Transport,122616.40440237251,3.85630583626321,3.96367997797953,,,,,,388.9882077027649,298.4994524533164,40.02497201804625,13.17216605548947,2018,Subsector,CO2 emissions from biomass
4.  Other sectors,91466.0561893254,24.9094310401268,0.67549323416537,,,,,,104.08792927814324,351.9882816200765,30.78234945463465,38.75297026808243,2018,Subsector,CO2 emissions from biomass
5.  Other,1617.7586545034992,0.041804413019,0.05793568506625,,,,,,13.76099311455635,3.43592913322971,0.64852614005456,1.59379732073309,2018,Subsector,CO2 emissions from biomass
B. Fugitive emissions from fuels,4477.2637645410605,216.26574731521242,0.12535451704288,,,,,,2.31311950680044,17.18959102924256,143.0600222496303,12.99604155880624,2018,Subsector,CO2 emissions from biomass
1.  Solid fuels,320.0718017820218,18.8250453219158,3.888972e-05,,,,,,0.0682411428,7.58483085839456,1.08323604369267,12.24928322867491,2018,Subsector,CO2 emissions from biomass
2.  Oil and natural gas and other emissions from energy production,4157.191962759039,197.4407019932966,0.12531562732288,,,,,,2.24487836400044,9.604760170848,141.97678620593763,0.74675833013133,2018,Subsector,CO2 emissions from biomass
C. CO2 Transport and storage,NO,,,,,,,,,,,,2018,Subsector,CO2 emissions from biomass
2.  Industrial processes and product use,21593.61456331843,2.49357550725442,2.94661755758381,12950.550048104113,134.94397124161105,NO,0.0236165500735,2.096730672e-05,13.86147616141233,213.04685681792978,462.8488579379073,20.52910644448024,2018,Subsector,CO2 emissions from biomass
A.  Mineral industry,6341.687735646159,,,,,,,,NO,1.39837420039254,0.99849330209549,5.994,2018,Subsector,CO2 emissions from biomass
B.  Chemical industry,4594.485711280853,1.8043365172534,0.08895608266969,NO,45.8526985539094,NO,NO,NO,4.21556067657263,23.26035511021412,12.62971870604089,0.80580304556765,2018,Subsector,CO2 emissions from biomass
C.  Metal industry,10183.941291651568,0.47450194860817,0.02428095486082,3.44734,9.41428480658285,,0.00666045,,8.43744537858005,180.24818147681927,1.82073808091457,10.03293131619625,2018,Subsector,CO2 emissions from biomass
D.  Non-energy products from fuels and solvent use ,473.49982473985074,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",334.04130184219724,1.39837208271634,2018,Subsector,CO2 emissions from biomass
E.  Electronic industry ,,,,22.72143432653268,"NO,NE,IE",NO,"NO,IE",2.096730672e-05,,,,,2018,Subsector,CO2 emissions from biomass
F.  Product uses as substitutes for ODS,,,,12924.381273777579,NO,,,,,,,,2018,Subsector,CO2 emissions from biomass
G.  Other product manufacture and use ,NO,NO,2.8333805200533,,79.67698788111879,,0.0169561000735,,0.05947010625965,1.82044603050385,0.15990850794263,NO,2018,Subsector,CO2 emissions from biomass
H.  Other(3),"NO,NE,IE",0.21473704139285,NO,,,,,,1.149,6.3195,113.19869749871651,2.298,2018,Subsector,CO2 emissions from biomass
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2018,Subsector,CO2 emissions from biomass
