GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level,Parent_Sector
Total national emissions and removals,361714.4349767572,2157.8937431545505,75.10587532536039,12333.145978974675,200.8581765675987,NO,0.02085786004888,2.096730672e-05,794.4481423028514,1422.643832118468,823.9349932050104,156.8013630533179,2019,Subsector,Indirect N2O
1. Energy,343406.46181272925,255.9547731868476,7.95155826730183,,,,,,747.3976161930084,1095.091412682891,220.64559114202282,136.54963193945548,2019,Subsector,Indirect N2O
A. Fuel combustion     Reference approach(2),338050.27984242694,,,,,,,,,,,,2019,Subsector,Indirect N2O
                                           Sectoral approach(2),339123.05732153676,48.03738405558216,7.82749956491882,,,,,,745.2334379945312,1077.8880743771815,88.51632153487084,127.08947340605481,2019,Subsector,Indirect N2O
1.  Energy industries,86446.96075571397,15.62069573098977,2.41044881847036,,,,,,147.10641408185037,67.40010044618269,3.19802242404134,38.47009327558808,2019,Subsector,Indirect N2O
2.  Manufacturing industries and construction                          ,42027.41553413392,4.25107863049819,0.79538594079001,,,,,,126.95288129922235,395.9265052364023,16.54276236763754,33.90639847984582,2019,Subsector,Indirect N2O
3.  Transport,120750.87501428394,3.85794933307986,3.92395050577274,,,,,,362.0758421836889,276.9659620123628,38.83775688705313,13.33235522533189,2019,Subsector,Indirect N2O
4.  Other sectors,88265.12584558982,24.2646229946712,0.6397458814187,,,,,,95.93063876312218,334.0699858752381,29.29040567725532,39.83696650633171,2019,Subsector,Indirect N2O
5.  Other,1632.6801718150687,0.04303736634314,0.05796841846701,,,,,,13.16766166664744,3.5255208069955,0.64737417888351,1.54365991895731,2019,Subsector,Indirect N2O
B. Fugitive emissions from fuels,4283.404491192525,207.91738913126542,0.12405870238301,,,,,,2.16417819847712,17.20333830570961,132.12926960715197,9.46015853340068,2019,Subsector,Indirect N2O
1.  Solid fuels,163.11390127287888,19.55890796246231,5.243292e-05,,,,,,0.0785421228,7.53171069115455,1.2423988306318,9.10446397200619,2019,Subsector,Indirect N2O
2.  Oil and natural gas and other emissions from energy production,4120.290589919646,188.3584811688031,0.12400626946301,,,,,,2.08563607567712,9.67162761455506,130.88687077652017,0.35569456139449,2019,Subsector,Indirect N2O
C. CO2 Transport and storage,NO,,,,,,,,,,,,2019,Subsector,Indirect N2O
2.  Industrial processes and product use,21788.280982000786,3.39210151592931,3.0387149052973,12333.145978974675,200.8581765675987,NO,0.02085786004888,2.096730672e-05,13.3837404044534,211.0270435525538,462.028291391347,19.68253568027616,2019,Subsector,Indirect N2O
A.  Mineral industry,6329.854369980611,,,,,,,,NO,1.59566840719564,1.05334089994197,5.317,2019,Subsector,Indirect N2O
B.  Chemical industry,4378.767721457266,2.73577096868541,0.13368002575918,NO,119.07483732991963,NO,NO,NO,4.25736955678645,28.90022255165741,13.19656868009207,0.74481184261335,2019,Subsector,Indirect N2O
C.  Metal industry,10607.167470239687,0.44258336078888,0.02424358879889,2.21156,5.61767666357696,,0.00336585,,7.88874943018153,172.30491920289703,1.83299156925847,9.87587410557959,2019,Subsector,Indirect N2O
D.  Non-energy products from fuels and solvent use ,472.49142032322237,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",330.36653313185286,1.38264973208322,2019,Subsector,Indirect N2O
E.  Electronic industry ,,,,21.65901242478677,"NO,NE,IE",NO,"NO,IE",2.096730672e-05,,,,,2019,Subsector,Indirect N2O
F.  Product uses as substitutes for ODS,,,,12309.275406549888,NO,,,,,,,,2019,Subsector,Indirect N2O
G.  Other product manufacture and use ,NO,NO,2.88079129073923,,76.16566257410209,,0.01749201004888,,0.05652141748542,1.73018339080372,0.1519798114608,NO,2019,Subsector,Indirect N2O
H.  Other(3),"NO,NE,IE",0.21374718645502,NO,,,,,,1.1811,6.49605,115.42687729874083,2.3622,2019,Subsector,Indirect N2O
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,2019,Subsector,Indirect N2O
