GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year,Level,Parent_Sector
Total national emissions and removals,577002.1620812862,5081.999547565378,139.2449717514107,14537.303027826963,546.4092799665525,0.05294168695483,1994,Subsector,CO2 emissions from biomass
1. Energy,531410.7662984238,1120.7428995340747,12.19352555004721,,,,1994,Subsector,CO2 emissions from biomass
A. Fuel combustion     Reference approach(2),524563.9573584192,,,,,,1994,Subsector,CO2 emissions from biomass
                                           Sectoral approach(2),523985.24638654036,118.02012472754406,12.00104479428206,,,,1994,Subsector,CO2 emissions from biomass
1.  Energy industries,204502.41875183818,10.0590967352788,4.0557706928745,,,,1994,Subsector,CO2 emissions from biomass
2.  Manufacturing industries and construction                          ,73103.39220920968,4.13416591761713,0.97910713648861,,,,1994,Subsector,CO2 emissions from biomass
3.  Transport,123412.65892346363,43.83281270184124,5.60562039088364,,,,1994,Subsector,CO2 emissions from biomass
4.  Other sectors,119000.13779905609,59.88882795844012,1.21851417437353,,,,1994,Subsector,CO2 emissions from biomass
5.  Other,3966.6387029727402,0.10522141436677,0.14203239966178,,,,1994,Subsector,CO2 emissions from biomass
B. Fugitive emissions from fuels,7425.519911883423,1002.7227748065307,0.19248075576515,,,,1994,Subsector,CO2 emissions from biomass
1.  Solid fuels,791.7676864289202,550.9598691629755,8.7156e-05,,,,1994,Subsector,CO2 emissions from biomass
2.  Oil and natural gas and other emissions from energy production,6633.752225454503,451.76290564355514,0.19239359976515,,,,1994,Subsector,CO2 emissions from biomass
2.  Industrial processes and product use,41887.94475758753,11.69049309473291,55.11528601009812,14537.303027826963,546.4092799665525,0.05294168695483,1994,Subsector,CO2 emissions from biomass
A.  Mineral industry,9075.512596453364,,,,,,1994,Subsector,CO2 emissions from biomass
B.  Chemical industry,7715.727862139439,9.23831358243582,53.03196812908923,14052.68090475102,72.23674057602744,,1994,Subsector,CO2 emissions from biomass
C.  Metal industry,23456.046025778644,1.59617418382065,0.06869216428487,,361.30848874656,0.01698125,1994,Subsector,CO2 emissions from biomass
D.  Non-energy products from fuels and solvent use ,1640.658273216084,,,,,,1994,Subsector,CO2 emissions from biomass
E.  Electronic industry ,,,,9.15471510417915,,,1994,Subsector,CO2 emissions from biomass
F.  Product uses as substitutes for ODS,,,,475.4674079717643,,,1994,Subsector,CO2 emissions from biomass
G.  Other product manufacture and use ,,,2.01462571672402,,112.86405064396511,0.03596043695483,1994,Subsector,CO2 emissions from biomass
H.  Other(3),,0.85600532847644,,,,,1994,Subsector,CO2 emissions from biomass
