GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,4899840.639517832,14536.071093305189,230.6314375877209,,,,,Summary1.As1,USA,1990,Sector
2.  Industrial processes and product use,214010.2723531481,11.131649208,111.6877930340196,38783.35635222793,21831.123100642624,252.430704,1.29873975368099,Summary1.As1,USA,1990,Sector
1. Energy,4851205.188929798,14549.509177213204,235.50782008446092,,,,,Summary1.As1,USA,1991,Sector
2.  Industrial processes and product use,204429.2819779996,11.084027068,109.83456192669672,34870.54008335427,18825.76163385744,531.0365304000001,1.24373407236599,Summary1.As1,USA,1991,Sector
1. Energy,4959763.819044373,14410.85101236818,245.73651892266383,,,,,Summary1.As1,USA,1992,Sector
2.  Industrial processes and product use,207579.5056901208,10.598048632,104.10691480422486,39830.65833275491,17539.693695516165,535.4307816,1.25244022448606,Summary1.As1,USA,1992,Sector
1. Energy,5061057.881356755,13886.278518114945,255.17114713586048,,,,,Summary1.As1,USA,1993,Sector
2.  Industrial processes and product use,205354.95053081712,13.0206049,109.84374092251136,40266.43051478533,17546.60220957448,545.4603594,1.23164755802573,Summary1.As1,USA,1993,Sector
1. Energy,5144427.826950679,13995.738516447476,264.3064201036671,,,,,Summary1.As1,USA,1994,Sector
2.  Industrial processes and product use,213031.7106970431,13.513956512,111.47369165079223,46551.57296037303,16183.849423437305,587.9286751999999,1.17253554301847,Summary1.As1,USA,1994,Sector
1. Energy,5196851.110679829,13753.744767903583,271.17002913805123,,,,,Summary1.As1,USA,1995,Sector
2.  Industrial processes and product use,221359.56789665928,14.136683616,123.55878105719098,62970.60215771738,16774.57605478777,1735.0753378000002,1.11707308620444,Summary1.As1,USA,1995,Sector
1. Energy,5383513.873083606,13728.283030422435,278.58269764792743,,,,,Summary1.As1,USA,1996,Sector
2.  Industrial processes and product use,222522.860803662,15.112260688,124.8508584219531,71320.87414730055,17878.380620503638,3176.3570042,1.08979390825754,Summary1.As1,USA,1996,Sector
1. Energy,5453958.88779221,13691.76539160709,284.42028704968885,,,,,Summary1.As1,USA,1997,Sector
2.  Industrial processes and product use,227203.49947981944,15.898436496,102.71911963025748,80544.2060633267,16437.39624327079,3886.9286286,1.01664613238068,Summary1.As1,USA,1997,Sector
1. Energy,5501810.535105302,13404.091106117638,288.40936545295426,,,,,Summary1.As1,USA,1998,Sector
2.  Industrial processes and product use,223744.06636399904,15.653265424,87.58672575485856,97729.04192302628,15279.186053928304,4620.634590400001,0.89303124993217,Summary1.As1,USA,1998,Sector
1. Energy,5573749.039073345,12996.228565913674,281.15203199802227,,,,,Summary1.As1,USA,1999,Sector
