GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),4816726.03672202,,,,,,,Summary1.As1,USA,1990,Subsector,1. Energy
                                           Sectoral approach(2),4853501.638853553,601.2743814384331,230.5650704842523,,,,,Summary1.As1,USA,1990,Subsector,1. Energy
1.  Energy industries,1960976.555697793,20.24812662983466,69.4827038962845,,,,,Summary1.As1,USA,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,711044.8267232846,69.49343662962126,9.6214565040064,,,,,Summary1.As1,USA,1990,Subsector,1. Energy
3.  Transport,1419648.6727137037,256.6748434735483,143.510739479353,,,,,Summary1.As1,USA,1990,Subsector,1. Energy
4.  Other sectors,567218.0281255159,252.6315378707614,4.81216810338975,,,,,Summary1.As1,USA,1990,Subsector,1. Energy
5.  Other,194613.55559325643,2.22643683466754,3.13800250121865,,,,,Summary1.As1,USA,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,46339.00066427864,13934.796711866757,0.06636710346865,,,,,Summary1.As1,USA,1990,Subsector,1. Energy
1.  Solid fuels,4606.482167108852,4147.457490785334,,,,,,Summary1.As1,USA,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,41732.51849716978,9787.339221081424,0.06636710346865,,,,,Summary1.As1,USA,1990,Subsector,1. Energy
B.  Chemical industry,45669.10927983123,9.59752,97.34541126059358,38601.74808568288,,,,Summary1.As1,USA,1990,Subsector,2.  Industrial processes and product use
C.  Metal industry,114996.17103288572,1.534129208,,,19290.286964738258,,0.22786187967924,Summary1.As1,USA,1990,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,181.25341454503996,2540.8361359043665,,0.02173387681664,Summary1.As1,USA,1990,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,0.354852,,252.430704,,Summary1.As1,USA,1990,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,14.20651302840003,,,,1.04914399718511,Summary1.As1,USA,1990,Subsector,2.  Industrial processes and product use
H.  Other(3),0.0138,,0.13586874502599,,,,,Summary1.As1,USA,1990,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),4768448.211210678,,,,,,,Summary1.As1,USA,1991,Subsector,1. Energy
                                           Sectoral approach(2),4805856.796584047,601.7881214470933,235.4405602310169,,,,,Summary1.As1,USA,1991,Subsector,1. Energy
1.  Energy industries,1961071.8384899443,20.2295271864187,69.35340330347384,,,,,Summary1.As1,USA,1991,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,693683.5449904198,67.5850791388204,9.32083041730348,,,,,Summary1.As1,USA,1991,Subsector,1. Energy
3.  Transport,1375572.5239463684,250.4184449247204,149.00473508408228,,,,,Summary1.As1,USA,1991,Subsector,1. Energy
4.  Other sectors,580724.0923451585,261.48634299551213,4.9395515401641,,,,,Summary1.As1,USA,1991,Subsector,1. Energy
5.  Other,194804.79681215607,2.06872720162165,2.82203988599321,,,,,Summary1.As1,USA,1991,Subsector,1. Energy
B. Fugitive emissions from fuels,45348.3923457511,13947.721055766113,0.06725985344402,,,,,Summary1.As1,USA,1991,Subsector,1. Energy
1.  Solid fuels,4425.060556610026,4023.741789381572,,,,,,Summary1.As1,USA,1991,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,40923.33178914107,9923.97926638454,0.06725985344402,,,,,Summary1.As1,USA,1991,Subsector,1. Energy
B.  Chemical industry,46884.64114059981,9.75358,95.8867954351707,34688.41403890448,,,,Summary1.As1,USA,1991,Subsector,2.  Industrial processes and product use
C.  Metal industry,105509.84372771686,1.330447068,,,16283.87787543811,,0.2165334126497,Summary1.As1,USA,1991,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,181.2586284498019,2540.9509157519856,,0.02173990586426,Summary1.As1,USA,1991,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,0.867416,,531.0365304000001,,Summary1.As1,USA,1991,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,13.81188766650003,,0.93284266734747,,1.00546075385203,Summary1.As1,USA,1991,Subsector,2.  Industrial processes and product use
H.  Other(3),0.02211,,0.13587882502599,,,,,Summary1.As1,USA,1991,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),4876335.860745848,,,,,,,Summary1.As1,USA,1992,Subsector,1. Energy
                                           Sectoral approach(2),4914748.4790559,615.2088864747307,245.66969665207156,,,,,Summary1.As1,USA,1992,Subsector,1. Energy
1.  Energy industries,1975999.04042748,20.35469606776012,69.85267691214715,,,,,Summary1.As1,USA,1992,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,719656.8631083937,69.48400999173712,9.61255743847559,,,,,Summary1.As1,USA,1992,Subsector,1. Energy
3.  Transport,1437983.128595441,252.37732285727824,158.3891379436615,,,,,Summary1.As1,USA,1992,Subsector,1. Energy
4.  Other sectors,582352.4698960392,270.77503171302044,5.00694989038297,,,,,Summary1.As1,USA,1992,Subsector,1. Energy
5.  Other,198756.97702854627,2.21782584493481,2.80837446740434,,,,,Summary1.As1,USA,1992,Subsector,1. Energy
B. Fugitive emissions from fuels,45015.33998847309,13795.64212589345,0.06682227059229,,,,,Summary1.As1,USA,1992,Subsector,1. Energy
1.  Solid fuels,4424.8899580354455,3944.2576286124463,,,,,,Summary1.As1,USA,1992,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,40590.45003043764,9851.384497281004,0.06682227059229,,,,,Summary1.As1,USA,1992,Subsector,1. Energy
B.  Chemical industry,48650.06506739718,9.19394,90.94838895649885,38555.14051440034,,,,Summary1.As1,USA,1992,Subsector,2.  Industrial processes and product use
C.  Metal industry,106213.17622562245,1.404108632,,,14997.274546918448,,0.22837757709249,Summary1.As1,USA,1992,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,181.2638423545637,2541.0656955996046,,0.02174593491188,Summary1.As1,USA,1992,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,1094.2539760000002,,535.4307816,,Summary1.As1,USA,1992,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,13.02263694270003,,1.3534529981137,,1.00231671248169,Summary1.As1,USA,1992,Subsector,2.  Industrial processes and product use
H.  Other(3),0.03074,,0.13588890502599,,,,,Summary1.As1,USA,1992,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),5005658.823578004,,,,,,,Summary1.As1,USA,1993,Subsector,1. Energy
                                           Sectoral approach(2),5017045.002947514,589.274224253305,255.10254325620363,,,,,Summary1.As1,USA,1993,Subsector,1. Energy
1.  Energy industries,2053987.4311772296,21.08374699447782,72.80228367225492,,,,,Summary1.As1,USA,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,716461.7403066893,70.1019385255474,9.6641938846571,,,,,Summary1.As1,USA,1993,Subsector,1. Energy
3.  Transport,1470936.888053988,249.49423649458976,165.30154140204505,,,,,Summary1.As1,USA,1993,Subsector,1. Energy
