GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level
Total national emissions and removals,4182101.650255736,32934.542663534026,1549.7190008524408,38783.35635222793,21831.123100642624,252.430704,1.29873975368099,Summary1.As1,USA,1990,Total
Total national emissions and removals,4118538.6407880974,33119.67333095038,1516.349633402598,34870.54008335427,18825.76163385744,531.0365304000001,1.24373407236599,Summary1.As1,USA,1991,Total
Total national emissions and removals,4237401.878329192,33059.7920416515,1516.5919892167872,39830.65833275491,17539.693695516165,535.4307816,1.25244022448606,Summary1.As1,USA,1992,Total
Total national emissions and removals,4355220.347165089,32666.91611373338,1581.8676142892589,40266.43051478533,17546.60220957448,545.4603594,1.23164755802573,Summary1.As1,USA,1993,Total
Total national emissions and removals,4432447.815221232,33037.20197715084,1596.8207405718522,46551.57296037303,16183.849423437305,587.9286751999999,1.17253554301847,Summary1.As1,USA,1994,Total
Total national emissions and removals,4522445.443990171,32742.504234506887,1607.82541759613,62970.60215771738,16774.57605478777,1735.0753378000002,1.11707308620444,Summary1.As1,USA,1995,Total
Total national emissions and removals,4689528.755317162,32584.129755465,1649.8835164717575,71320.87414730055,17878.380620503638,3176.3570042,1.08979390825754,Summary1.As1,USA,1996,Total
Total national emissions and removals,4784742.904618288,31987.88371145036,1600.376462711233,80544.2060633267,16437.39624327079,3886.9286286,1.01664613238068,Summary1.As1,USA,1997,Total
Total national emissions and removals,4828445.500691262,31484.801548189804,1607.1419775241036,97729.04192302628,15279.186053928304,4620.634590400001,0.89303124993217,Summary1.As1,USA,1998,Total
Total national emissions and removals,4903384.677573709,30952.32040901203,1591.9416268515404,96080.8089143708,15218.870264718877,4856.552819,0.88158741842452,Summary1.As1,USA,1999,Total
Total national emissions and removals,5108124.292884592,30991.7598311261,1581.690206594871,101050.225985654,14366.13326919386,4739.877449999999,0.76569494932637,Summary1.As1,USA,2000,Total
Total national emissions and removals,5007802.385453912,30492.64523429876,1590.52247206735,98171.78494364752,7460.350943015492,4756.5691548,0.73512056651977,Summary1.As1,USA,2001,Total
Total national emissions and removals,5079188.802620015,30549.795913881,1609.905327424544,103783.53003401156,9261.400691481154,5410.6946954000005,0.70185438824619,Summary1.As1,USA,2002,Total
Total national emissions and removals,5118743.206095812,30394.471631788005,1607.414861474903,98122.90910658037,7400.022377676924,6173.7319126,0.70777639695981,Summary1.As1,USA,2003,Total
Total national emissions and removals,5321368.337124055,30627.47564546384,1660.807520002537,106706.34673404836,6183.119520807,6638.269902999999,0.66868171463398,Summary1.As1,USA,2004,Total
Total national emissions and removals,5278654.745499357,30442.07186073796,1610.9311444914492,109261.34723954072,6067.989176389083,7089.2773304,0.65934121473171,Summary1.As1,USA,2005,Total
Total national emissions and removals,5170091.2221734775,30536.968545972493,1594.5454975192513,113206.2955232945,5905.479596573232,7447.574559799999,0.62323642622084,Summary1.As1,USA,2006,Total
Total national emissions and removals,5286998.002118174,30825.59501410961,1641.028151732129,123357.34635060468,7223.821342757177,7887.283301599999,0.57102284678159,Summary1.As1,USA,2007,Total
Total national emissions and removals,5090456.792418075,31053.38925662448,1572.1415534334956,127381.18166398688,5761.677498844381,8295.7765546,0.53763247555345,Summary1.As1,USA,2008,Total
Total national emissions and removals,4693711.657980228,30757.294413659965,1563.8659011616635,127279.68286788132,3881.469541572834,8893.0453894,0.44691889425564,Summary1.As1,USA,2009,Total
Total national emissions and removals,4872348.617434963,30727.92069624867,1567.600439922137,135113.78617342946,4316.778539689997,9557.3961246,0.40855479698006,Summary1.As1,USA,2010,Total
Total national emissions and removals,4692335.149208654,29976.672865937024,1581.4232163620702,138183.62246821885,6651.192187271118,10226.3752554,0.40932576121725,Summary1.As1,USA,2011,Total
Total national emissions and removals,4494702.753567924,29583.692661754765,1506.2402306520814,137205.38512344268,5819.580349248055,10889.244312399998,0.35262547954547,Summary1.As1,USA,2012,Total
Total national emissions and removals,4666664.272842536,29714.94597402023,1625.3487325259005,137522.77899470416,5563.992312017321,11558.7495006,0.33730050867001,Summary1.As1,USA,2013,Total
Total national emissions and removals,4701831.062246949,29474.46245954049,1641.3560039237614,141872.59055387747,5235.703026800921,12179.584698,0.33370705988589,Summary1.As1,USA,2014,Total
Total national emissions and removals,4624236.643125684,29940.3645056835,1632.6505198546547,144455.4912633941,4739.792140815493,13442.7281632,0.30245357181126,Summary1.As1,USA,2015,Total
Total national emissions and removals,4378690.753695122,28547.07446710319,1564.2543072570832,144033.20841696858,4006.9152571751392,14410.6934352,0.32224928363928,Summary1.As1,USA,2016,Total
Total national emissions and removals,4369646.418653081,29383.01600305753,1595.999997163533,145330.4845774934,3762.1104309364887,15467.11260974,0.30761342480554,Summary1.As1,USA,2017,Total
Total national emissions and removals,4548296.499277375,29692.42561612432,1649.9099265758816,144940.17556518977,4252.544444619805,15950.98730858,0.30215018797998,Summary1.As1,USA,2018,Total
Total national emissions and removals,4493920.576032006,29452.27388290267,1575.8029837522552,149355.4264579051,3985.614448975979,16069.89597065,0.33001553822501,Summary1.As1,USA,2019,Total
Total national emissions and removals,3862093.5977736777,28845.16789803664,1508.8806289703714,152279.99875610234,3903.9699236235065,15921.01515958,0.31949728979102,Summary1.As1,USA,2020,Total
Total national emissions and removals,4200173.846505683,28336.25740174236,1528.7641324438323,158774.99211566665,3541.2980977850507,16320.38702338,0.34121606520066,Summary1.As1,USA,2021,Total
