GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),4832542.00110578,,,,,,,Summary1.As1,USA,2021,Subsector,1. Energy
                                           Sectoral approach(2),4791745.987052276,411.78914467614567,147.80185377119454,,,,,Summary1.As1,USA,2021,Subsector,1. Energy
1.  Energy industries,1691049.2805062484,52.44641255777231,72.11196524891275,,,,,Summary1.As1,USA,2021,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,625219.1443078155,54.76543643500889,7.40099279171382,,,,,Summary1.As1,USA,2021,Subsector,1. Energy
3.  Transport,1734692.554103828,92.25849665934663,62.46755506513206,,,,,Summary1.As1,USA,2021,Subsector,1. Energy
4.  Other sectors,546602.9907351848,210.73593278139188,3.81538128019409,,,,,Summary1.As1,USA,2021,Subsector,1. Energy
5.  Other,194182.01739919916,1.58286624262599,2.00595938524181,,,,,Summary1.As1,USA,2021,Subsector,1. Energy
B. Fugitive emissions from fuels,63293.602593672695,10386.309000408033,0.11129923244042,,,,,Summary1.As1,USA,2021,Subsector,1. Energy
1.  Solid fuels,2455.9561062570615,1822.6379924762186,,,,,,Summary1.As1,USA,2021,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,60837.64648741564,8563.671007931815,0.11129923244042,,,,,Summary1.As1,USA,2021,Subsector,1. Energy
