SUMMARY 1.A  SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Inventory 1990,SUMMARY 1.A SUMMARY REPORT FOR NATIONAL GREENHOUSE GAS INVENTORIES (IPCC TABLE 7A)
(Sheet 1 of 3),,,,,,,,,,,,Submission 2023 v2,
,,,,,,,,,,,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,
,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals,CH4,N2O,HFCs(1),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6,NF3,NOx,CO ,NMVOC,SO2,
,(kt),,,(kt CO2 equivalent),,,(kt),,,,,,
Total national emissions and removals,607337.2622038256,5388.815527925926,167.6798719143614,12068.457467471051,1483.6613088297427,"NO,NE",0.05288630573414,6.8232348e-06,2860.605286545,7725.363856207307,2759.506713852854,3591.3759775586327,
1. Energy,557715.5029143459,1496.8715001112016,12.32648861791229,,,,,,2764.2760272532882,6852.221673726073,1687.4836338597472,3495.301072037453,
A. Fuel combustion     Reference approach(2),546748.2517665874,,,,,,,,,,,,
                                           Sectoral approach(2),550928.4105227769,129.65778749682246,12.17622975551653,,,,,,2760.104321868209,6796.189528890028,1063.1688458514166,3474.1383890763855,
1.  Energy industries,238059.4909129977,9.327512466602,4.82163094417675,,,,,,819.9753454534094,140.85503333666537,9.66382045009034,2686.4381796176767,
2.  Manufacturing industries and construction                          ,75237.16423920529,4.09634403641847,0.98284183956482,,,,,,326.3699260881713,516.8960822019243,31.26672292207257,399.40777045671496,
3.  Transport,120222.30046609539,50.83161688966728,4.8675546216048,,,,,,1344.025793441458,5050.975302800643,928.1450763435525,157.07313637734705,
4.  Other sectors,112116.01744990036,65.26005296727028,1.3158687882005,,,,,,230.77807765369278,1075.8312711959582,91.98019495145753,220.1339380016035,
5.  Other,5293.43745457813,0.14226113686442,0.18833356196966,,,,,,38.9551792314776,11.63183935483735,2.11303118424359,11.0853646230431,
B. Fugitive emissions from fuels,6787.092391569139,1367.2137126143791,0.15025886239576,,,,,,4.17170538507912,56.03214483604513,624.3147880083305,21.16268296106815,
1.  Solid fuels,1698.561494434334,873.0742929216586,0.000302616,,,,,,0.52867539284374,39.06045958072952,223.61506182550715,20.67615512445758,
2.  Oil and natural gas and other emissions from energy production,5088.530897134805,494.1394196927205,0.14995624639576,,,,,,3.64302999223538,16.97168525531561,400.6997261828234,0.48652783661057,
C. CO2 Transport and storage,NO,,,,,,,,,,,,
2.  Industrial processes and product use,43192.569595049,11.67813188599827,81.94017031865906,12068.457467471051,1483.6613088297427,"NO,NE",0.05288630573414,6.8232348e-06,44.1132518938899,625.5104922039825,934.0178259017176,87.04220196539627,
A.  Mineral industry,10234.924763495317,,,,,,,,NO,5.29878901440178,4.74116331203006,14.0994150476931,
B.  Chemical industry,6975.588848580359,8.86529686943438,79.85698275927682,12053.825917322536,16.07267477816611,NO,NO,NO,18.36041848041165,90.25205224786554,164.69411423723645,40.11564664793914,
C.  Metal industry,25429.247347380857,1.56863361472755,0.06955531634258,NO,1396.756822824816,,0.01698125,,24.2830154540648,516.9175660190449,4.44558654063075,28.41250357033305,
D.  Non-energy products from fuels and solvent use ,552.8086355924662,"NO,IE","NO,NE,IE",,,,,,"NO,IE","NO,IE",670.4460811035941,1.86989259753386,
E.  Electronic industry ,,,,4.65055273382887,"NO,NE,IE","NO,NE","NO,NE,IE",6.8232348e-06,,,,,
F.  Product uses as substitutes for ODS,,,,9.98099741468508,NO,,,,,,,,
G.  Other product manufacture and use ,NO,NO,2.01363224303966,,70.83181122676056,,0.03590505573414,,0.19744590846489,6.04403864245316,0.53091010942783,NO,
H.  Other(3),"IE,NE,NO",1.24420140183634,NO,,,,,,1.27237205094856,6.9980462802171,89.15997059879842,2.54474410189713,
,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 3.,,,,,,,,,,,,,
(Sheet 2 of 3),,,,,,,,,,,,Submission 2023 v2,
,,,,,,,,,,,,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,
,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND,CO2,CH4,N2O,HFCs (1),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6,NF3,NOx,CO ,NMVOC,SO2,
SINK CATEGORIES,,,,,,,,,,,,,
,(kt),,,(kt CO2 equivalent),,,(kt),,,,,,
3.  Agriculture,1312.915065421947,1172.9264618307725,62.92123886438919,,,,,,44.62385404001178,191.23846463425443,119.06686810928694,1.30183363981021,
A.  Enteric fermentation,,988.5792854152403,,,,,,,,,,,
B.  Manure management,,165.93408129716465,11.46756402078032,,,,,,,,72.56304331602252,,
C.  Rice cultivation,,NO,,,,,,,,,NO,,
D.  Agricultural soils,,NE,50.67324186235371,,,,,,36.24149455939841,NE,42.86817685184901,,
E.  Prescribed burning of savannas,,NO,NO,,,,,,NO,NO,NO,,
F.  Field burning of agricultural residues,,7.46282683056716,0.1934806956073,,,,,,6.43739418448167,190.7731691194494,3.62680217539734,,
G. Liming,1016.4167639794517,,,,,,,,,,,,
H. Urea application,292.9543696691042,,,,,,,,,,,,
I.  Other carbon-contining fertilizers,NO,,,,,,,,,,,,
J.  Other ,3.54393177339109,10.9502682878003,0.58695228564786,,,,,,1.9449652961317,0.46529551480505,0.00884576601808,1.30183363981021,
"4.  Land use, land-use change and forestry  (4)",3671.103523583243,198.97047038452743,7.20830433478355,,,,,,0.85579978391276,18.76391414835045,NO,NO,
A. Forest land (4),-13940.1560393277,3.55322414450354,1.65640375353389,,,,,,0.09434438909754,3.47181261074727,NO,,
B. Cropland (4),14230.876954181369,11.87016846889981,2.46509349029626,,,,,,0.00350677394965,0.12716727643567,NO,,
C. Grassland (4),-618.7529639992829,100.25169886799863,0.08677754963568,,,,,,0.6644339800972,11.82957874042895,NO,,
D. Wetlands (4),668.771306501126,82.6157463124651,0.07130350057994,,,,,,NO,NO,NO,,
E. Settlements (4),5426.53467899998,0.14650627053711,1.47876170366521,,,,,,0.09351464076837,3.33535552073856,NO,,
F. Other land (4),NO,NO,NO,,,,,,NO,NO,NO,,
G. Harvested wood products ,-2096.170412772249,,,,,,,,,,,,
