TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) GREENHOUSE GAS EMISSIONS CO2 emissions without net CO2 from LULUCF CO2 emissions with net CO2 from LULUCF,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) Base year(1) CO2 equivalent (kt) 603666.1586802424 607337.2622038256,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 1990 603666.1586802424 607337.2622038256,Inventory 1990 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) 0 0,SourceFile,YearFromFilename,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 1991 611180.1253233936 614363.2203847475,Inventory 1991 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) 1.244722192077 1.15684622337,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 1992 595547.681984006 597922.1096053956,Inventory 1992 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -1.344861986961 -1.550234636397,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 1993 581571.284778773 583385.0584462105,Inventory 1993 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -3.660114714692 -3.943806061018,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 1994 575574.3027123051 577002.1620812862,Inventory 1994 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -4.653541624621 -4.994770123681,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 1995 567718.832279315 569166.3775157833,Inventory 1995 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -5.95483544738 -6.284956821113,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 1996 588352.2332905084 588829.4196382763,Inventory 1996 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -2.536820255622 -3.047374781253,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 1997 564846.4008447614 564783.4410595656,Inventory 1997 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -6.43066656583 -7.006621162984,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 1998 570182.520385466 569367.1492088307,Inventory 1998 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -5.546714490005 -6.251899127219,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 1999 562664.6044871323 562016.9034296797,Inventory 1999 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -6.792090893872 -7.462140328702,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2000 570546.4754864867 569664.5188886405,Inventory 2000 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -5.486423699179 -6.20293626946,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2001 579678.1421341749 578183.0449040702,Inventory 2001 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -3.973722263728 -4.800334034168,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2002 562251.6825913206 559951.8059813032,Inventory 2002 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -6.860493253335 -7.802165151299,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2003 573045.4533928278 570567.3833893036,Inventory 2003 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -5.072456828516 -6.054276775493,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2004 575203.6628646157 571948.500800855,Inventory 2004 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -4.714939773641 -5.826871428003,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2005 572057.9907400587 568441.0823483546,Inventory 2005 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -5.236034434875 -6.404378963071,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2006 569662.2364195943 565670.0399673455,Inventory 2006 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -5.632901856713 -6.860639850301,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2007 561461.5728391076 557124.5530986828,Inventory 2007 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -6.991378468756 -8.2676812753,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2008 546903.0045718569 541772.1831109255,Inventory 2008 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -9.403070437555 -10.795497522248,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2009 495958.0698663782 490774.6576363848,Inventory 2009 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -17.842326800187 -19.192401293554,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2010 513843.48735545547 508588.672878558,Inventory 2010 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -14.879527373401 -16.259267374266,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2011 471410.359169437 465540.5457017914,Inventory 2011 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -21.90876490409 -23.347277587991,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2012 489083.1097373708 483427.42299713567,Inventory 2012 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -18.981194704268 -20.402146701334,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2013 479088.6069631353 473376.85676559666,Inventory 2013 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -20.636828804428 -22.057004200949,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2014 440062.6483549394 434008.9272177405,Inventory 2014 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -27.101653450805 -28.53905824206,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2015 423772.57259236596 417899.521751107,Inventory 2015 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -29.800177383004 -31.191522773576,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2016 400645.3225361122 394833.8305490154,Inventory 2016 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -33.631309826607 -34.989361740083,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2017 388415.42015771486 382359.88176205545,Inventory 2017 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -35.65724787242 -37.043236837701,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2018 380582.4369958496 375082.01874149445,Inventory 2018 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -36.954816578108 -38.241559989182,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2019 366942.1153523531 361714.4349767572,Inventory 2019 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -39.214396885428 -40.442574910649,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2020 327164.2098780937 321430.23387779394,Inventory 2020 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -45.803784894394 -47.075495958962,TABLE 10 EMISSION TRENDS SUMMARY (Sheet 6 of 6) 2021 348409.72235591436 342591.0955324837,Inventory 2021 Submission 2023 v2 UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND Change from base to latest reported year (%) -42.28437069959 -43.591293198554
CH4 emissions without CH4 from LULUCF,145315.6616111592,145315.6616111592,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4 emissions with CH4 from LULUCF,150886.83478192595,150886.83478192595,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2O emissions without N2O from LULUCF,42524.96540858813,42524.96540858813,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2O emissions with N2O from LULUCF,44435.16605730577,44435.16605730577,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFCs,12068.457467471051,12068.457467471051,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFCs,1483.6613088297427,1483.6613088297427,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unspecified mix of HFCs and PFCs,,,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF6,1242.82818475229,1242.82818475229,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NF3,0.10985408028,0.10985408028,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (without LULUCF),806301.8425151231,806301.8425151231,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (with LULUCF),817454.3198581908,817454.3198581908,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total (without LULUCF, with indirect)",,,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total (with LULUCF, with indirect)",,,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Base year(1),1990,Change from base to latest reported year,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CO2 equivalent (kt),,(%),GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Energy ,602894.4244012064,602894.4244012064,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial processes and product use,80028.75923743496,80028.75923743496,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Agriculture ,50828.98429574671,50828.98429574671,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.  Land use, land-use change and forestry(5)",11152.477343067652,11152.477343067652,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Waste ,72549.67458073502,72549.67458073502,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.  Other,,,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (including LULUCF)(5),817454.3198581908,817454.3198581908,0,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1)  The column ""Base year""  should be filled in only by those Parties with economies in transition that use a base year different from 1990 in accordance with the relevant decisions of the COP. For these Parties, this different base year is used to calculate the percentage change in the final column of this table. ",,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2)   Fill in net emissions/removals as reported in table Summary 1.A. For the purposes of reporting, the signs for removals are always negative (-) and for emissions positive (+). ",,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3) In accordance with the UNFCCC reporting guidelines, for Parties that decide to report indirect CO2 the national totals shall be provided with and  without indirect CO2.",,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(4)  In accordance with the UNFCCC reporting guidelines, HFC and PFC emissions should be reported for each relevant chemical.  However, if it is not possible to report values for each chemical (i.e. mixtures, confidential data, lack of disaggregation), this row could be used for reporting aggregate figures for HFCs and PFCs, respectively. Note that the unit used for this row is kt of CO2 equivalent and that appropriate notation keys should be entered in the cells for the individual chemicals. ",,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(5)  Includes net CO2, CH4 and N2O from LULUCF.",,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation box:,,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"• Parties should provide detailed explanations on emissions trends in chapter 2: Trends in Greenhouse Gas Emissions and, as appropriate, in the corresponding Chapters 3 - 8 of the national inventory report (NIR).  Use this documentation box to provide references to relevant sections of the NIR if any additional information and further details are needed to understand the content of this table.",,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• Use the documentation box to provide explanations if potential emissions are reported.,,,,GBR_2023_1990_13042023_164306.xlsx,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
