GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Country,Year,Level,Parent_Sector
Total national emissions and removals,564783.4410595656,5019.5415428988435,135.95180120376398,18356.108004685513,446.9412735815819,0.0558155329415,GBR,1997,Subsector,Multilateral operations
1. Energy,519972.88229007047,1007.5436041293833,11.63732605258719,,,,GBR,1997,Subsector,Multilateral operations
A. Fuel combustion     Reference approach(2),510475.4835409633,,,,,,GBR,1997,Subsector,Multilateral operations
                                           Sectoral approach(2),512762.08018415346,94.95757559392807,11.45184257055266,,,,GBR,1997,Subsector,Multilateral operations
1.  Energy industries,192672.44681702656,11.08981596365534,3.60322685900582,,,,GBR,1997,Subsector,Multilateral operations
2.  Manufacturing industries and construction                          ,69803.5636407435,3.46310324711367,0.87471380174706,,,,GBR,1997,Subsector,Multilateral operations
3.  Transport,128225.04773015072,35.71872432780254,5.84121821240024,,,,GBR,1997,Subsector,Multilateral operations
4.  Other sectors,118424.22045069179,44.59387858771673,0.99956469667045,,,,GBR,1997,Subsector,Multilateral operations
5.  Other,3636.8015455409004,0.09205346763979,0.13311900072909,,,,GBR,1997,Subsector,Multilateral operations
B. Fugitive emissions from fuels,7210.802105917001,912.5860285354553,0.18548348203453,,,,GBR,1997,Subsector,Multilateral operations
1.  Solid fuels,631.1653690361505,534.5149745470568,6.5448e-05,,,,GBR,1997,Subsector,Multilateral operations
2.  Oil and natural gas and other emissions from energy production,6579.636736880851,378.07105398839843,0.18541803403453,,,,GBR,1997,Subsector,Multilateral operations
2.  Industrial processes and product use,43089.93418425033,9.43989509251557,50.3007481126406,18356.108004685513,446.9412735815819,0.0558155329415,GBR,1997,Subsector,Multilateral operations
A.  Mineral industry,9739.374403396352,,,,,,GBR,1997,Subsector,Multilateral operations
B.  Chemical industry,6907.53630333938,7.05521117422243,48.26868341247101,16539.35414211283,44.59328457396951,,GBR,1997,Subsector,Multilateral operations
C.  Metal industry,24974.26981885538,1.65237878179306,0.07126410218431,,230.4487513406184,0.01707625,GBR,1997,Subsector,Multilateral operations
D.  Non-energy products from fuels and solvent use ,1468.7536586592155,,,,,,GBR,1997,Subsector,Multilateral operations
E.  Electronic industry ,,,,15.2142317987246,,,GBR,1997,Subsector,Multilateral operations
F.  Product uses as substitutes for ODS,,,,1801.539630773958,2.48858956147309,,GBR,1997,Subsector,Multilateral operations
G.  Other product manufacture and use ,,,1.96080059798528,,169.4106481055209,0.0387392829415,GBR,1997,Subsector,Multilateral operations
H.  Other(3),,0.73230513650008,,,,,GBR,1997,Subsector,Multilateral operations
